# Source1    : pressureDifferencePatch.region1
# Source2    : pressureDifferencePatch.region2
# Operation  : subtract
# Time       	p
1.88         	-1.013250e+02
1.885        	-1.013250e+02
1.89         	-1.013250e+02
1.895        	-1.013250e+02
1.9          	-1.013250e+02
1.905        	-1.013250e+02
1.91         	-1.013250e+02
1.915        	-1.013250e+02
1.92         	-1.013250e+02
1.925        	-1.013250e+02
1.93         	-1.013250e+02
1.935        	-1.013250e+02
1.94         	-1.013250e+02
1.945        	-1.013250e+02
1.95         	-1.013250e+02
1.955        	-1.013250e+02
1.96         	-1.013250e+02
1.965        	-1.013250e+02
1.97         	-1.013250e+02
1.975        	-1.013250e+02
1.98         	-1.013250e+02
1.985        	-1.013250e+02
1.99         	-1.013250e+02
1.995        	-1.013250e+02
2            	-1.013250e+02
2.005        	-1.013250e+02
2.01         	-1.013250e+02
2.015        	-1.013250e+02
2.02         	-1.013250e+02
2.025        	-1.013250e+02
2.03         	-1.013250e+02
2.035        	-1.013250e+02
2.04         	-1.013250e+02
2.045        	-1.013250e+02
2.05         	-1.013250e+02
2.055        	-1.013250e+02
2.06         	-1.013250e+02
2.065        	-1.013250e+02
2.07         	-1.013250e+02
2.075        	-1.013250e+02
2.08         	-1.013250e+02
2.085        	-1.013250e+02
2.09         	-1.013250e+02
2.095        	-1.013250e+02
2.1          	-1.013250e+02
2.105        	-1.013250e+02
2.11         	-1.013250e+02
2.115        	-1.013250e+02
2.12         	-1.013250e+02
2.125        	-1.013250e+02
2.13         	-1.013250e+02
2.135        	-1.013250e+02
2.14         	-1.013250e+02
2.145        	-1.013250e+02
2.15         	-1.013250e+02
2.155        	-1.013250e+02
2.16         	-1.013250e+02
2.165        	-1.013250e+02
2.17         	-1.013250e+02
2.175        	-1.013250e+02
2.18         	-1.013250e+02
2.185        	-1.013250e+02
2.19         	-1.013250e+02
2.195        	-1.013250e+02
2.2          	-1.013250e+02
2.205        	-1.013250e+02
2.21         	-1.013250e+02
2.215        	-1.013250e+02
2.22         	-1.013250e+02
2.225        	-1.013250e+02
2.23         	-1.013250e+02
2.235        	-1.013250e+02
2.24         	-1.013250e+02
2.245        	-1.013250e+02
2.25         	-1.013250e+02
2.255        	-1.013250e+02
2.26         	-1.013250e+02
2.265        	-1.013250e+02
2.27         	-1.013250e+02
2.275        	-1.013250e+02
2.28         	-1.013250e+02
2.285        	-1.013250e+02
2.29         	-1.013250e+02
2.295        	-1.013250e+02
2.3          	-1.013250e+02
2.305        	-1.013250e+02
2.31         	-1.013250e+02
2.315        	-1.013250e+02
2.32         	-1.013250e+02
2.325        	-1.013250e+02
2.33         	-1.013250e+02
2.335        	-1.013250e+02
2.34         	-1.013250e+02
2.345        	-1.013250e+02
2.35         	-1.013250e+02
2.355        	-1.013250e+02
2.36         	-1.013250e+02
2.365        	-1.013250e+02
2.37         	-1.013250e+02
2.375        	-1.013250e+02
2.38         	-1.013250e+02
2.385        	-1.013250e+02
2.39         	-1.013250e+02
2.395        	-1.013250e+02
2.4          	-1.013250e+02
2.405        	-1.013250e+02
2.41         	-1.013250e+02
2.415        	-1.013250e+02
2.42         	-1.013250e+02
2.425        	-1.013250e+02
2.43         	-1.013250e+02
2.435        	-1.013250e+02
2.44         	-1.013250e+02
2.445        	-1.013250e+02
2.45         	-1.013250e+02
2.455        	-1.013250e+02
2.46         	-1.013250e+02
2.465        	-1.013250e+02
2.47         	-1.013250e+02
2.475        	-1.013250e+02
2.48         	-1.013250e+02
2.485        	-1.013250e+02
2.49         	-1.013250e+02
2.495        	-1.013250e+02
2.5          	-1.013250e+02
2.505        	-1.013250e+02
2.51         	-1.013250e+02
2.515        	-1.013250e+02
2.52         	-1.013250e+02
2.525        	-1.013250e+02
2.53         	-1.013250e+02
2.535        	-1.013250e+02
2.54         	-1.013250e+02
2.545        	-1.013250e+02
2.55         	-1.013250e+02
2.555        	-1.013250e+02
2.56         	-1.013250e+02
2.565        	-1.013250e+02
2.57         	-1.013250e+02
2.575        	-1.013250e+02
2.58         	-1.013250e+02
2.585        	-1.013250e+02
2.59         	-1.013250e+02
2.595        	-1.013250e+02
2.6          	-1.013250e+02
2.605        	-1.013250e+02
2.61         	-1.013250e+02
2.615        	-1.013250e+02
2.62         	-1.013250e+02
2.625        	-1.013250e+02
2.63         	-1.013250e+02
2.635        	-1.013250e+02
2.64         	-1.013250e+02
2.645        	-1.013250e+02
2.65         	-1.013250e+02
2.655        	-1.013250e+02
2.66         	-1.013250e+02
2.665        	-1.013250e+02
2.67         	-1.013250e+02
2.675        	-1.013250e+02
2.68         	-1.013250e+02
2.685        	-1.013250e+02
2.69         	-1.013250e+02
2.695        	-1.013250e+02
2.7          	-1.013250e+02
2.705        	-1.013250e+02
2.71         	-1.013250e+02
2.715        	-1.013250e+02
2.72         	-1.013250e+02
2.725        	-1.013250e+02
2.73         	-1.013250e+02
2.735        	-1.013250e+02
2.74         	-1.013250e+02
2.745        	-1.013250e+02
2.75         	-1.013250e+02
2.755        	-1.013250e+02
2.76         	-1.013250e+02
2.765        	-1.013250e+02
2.77         	-1.013250e+02
2.775        	-1.013250e+02
2.78         	-1.013250e+02
2.785        	-1.013250e+02
2.79         	-1.013250e+02
2.795        	-1.013250e+02
2.8          	-1.013250e+02
2.805        	-1.013250e+02
2.81         	-1.013250e+02
2.815        	-1.013250e+02
2.82         	-1.013250e+02
2.825        	-1.013250e+02
2.83         	-1.013250e+02
2.835        	-1.013250e+02
2.84         	-1.013250e+02
2.845        	-1.013250e+02
2.85         	-1.013250e+02
2.855        	-1.013250e+02
2.86         	-1.013250e+02
2.865        	-1.013250e+02
2.87         	-1.013250e+02
2.875        	-1.013250e+02
2.88         	-1.013250e+02
2.885        	-1.013250e+02
2.89         	-1.013250e+02
2.895        	-1.013250e+02
2.9          	-1.013250e+02
2.905        	-1.013250e+02
2.91         	-1.013250e+02
2.915        	-1.013250e+02
2.92         	-1.013250e+02
2.925        	-1.013250e+02
2.93         	-1.013250e+02
2.935        	-1.013250e+02
2.94         	-1.013250e+02
2.945        	-1.013250e+02
2.95         	-1.013250e+02
2.955        	-1.013250e+02
2.96         	-1.013250e+02
2.965        	-1.013250e+02
2.97         	-1.013250e+02
2.975        	-1.013250e+02
2.98         	-1.013250e+02
2.985        	-1.013250e+02
2.99         	-1.013250e+02
2.995        	-1.013250e+02
3            	-1.013250e+02
3.005        	-1.013250e+02
3.01         	-1.013250e+02
3.015        	-1.013250e+02
3.02         	-1.013250e+02
3.025        	-1.013250e+02
3.03         	-1.013250e+02
3.035        	-1.013250e+02
3.04         	-1.013250e+02
3.045        	-1.013250e+02
3.05         	-1.013250e+02
3.055        	-1.013250e+02
3.06         	-1.013250e+02
3.065        	-1.013250e+02
3.07         	-1.013250e+02
3.075        	-1.013250e+02
3.08         	-1.013250e+02
3.085        	-1.013250e+02
3.09         	-1.013250e+02
3.095        	-1.013250e+02
3.1          	-1.013250e+02
3.105        	-1.013250e+02
3.11         	-1.013250e+02
3.115        	-1.013250e+02
3.12         	-1.013250e+02
3.125        	-1.013250e+02
3.13         	-1.013250e+02
3.135        	-1.013250e+02
3.14         	-1.013250e+02
3.145        	-1.013250e+02
3.15         	-1.013250e+02
3.155        	-1.013250e+02
3.16         	-1.013250e+02
3.165        	-1.013250e+02
3.17         	-1.013250e+02
3.175        	-1.013250e+02
3.18         	-1.013250e+02
3.185        	-1.013250e+02
3.19         	-1.013250e+02
3.195        	-1.013250e+02
3.2          	-1.013250e+02
3.205        	-1.013250e+02
3.21         	-1.013250e+02
3.215        	-1.013250e+02
3.22         	-1.013250e+02
3.225        	-1.013250e+02
3.23         	-1.013250e+02
3.235        	-1.013250e+02
3.24         	-1.013250e+02
3.245        	-1.013250e+02
3.25         	-1.013250e+02
3.255        	-1.013250e+02
3.26         	-1.013250e+02
3.265        	-1.013250e+02
3.27         	-1.013250e+02
3.275        	-1.013250e+02
3.28         	-1.013250e+02
3.285        	-1.013250e+02
3.29         	-1.013250e+02
3.295        	-1.013250e+02
3.3          	-1.013250e+02
3.305        	-1.013250e+02
3.31         	-1.013250e+02
3.315        	-1.013250e+02
3.32         	-1.013250e+02
3.325        	-1.013250e+02
3.33         	-1.013250e+02
3.335        	-1.013250e+02
3.34         	-1.013250e+02
3.345        	-1.013250e+02
3.35         	-1.013250e+02
3.355        	-1.013250e+02
3.36         	-1.013250e+02
3.365        	-1.013250e+02
3.37         	-1.013250e+02
3.375        	-1.013250e+02
3.38         	-1.013250e+02
3.385        	-1.013250e+02
3.39         	-1.013250e+02
3.395        	-1.013250e+02
3.4          	-1.013250e+02
3.405        	-1.013250e+02
3.41         	-1.013250e+02
3.415        	-1.013250e+02
3.42         	-1.013250e+02
3.425        	-1.013250e+02
3.43         	-1.013250e+02
3.435        	-1.013250e+02
3.44         	-1.013250e+02
3.445        	-1.013250e+02
3.45         	-1.013250e+02
3.455        	-1.013250e+02
3.46         	-1.013250e+02
3.465        	-1.013250e+02
3.47         	-1.013250e+02
3.475        	-1.013250e+02
3.48         	-1.013250e+02
3.485        	-1.013250e+02
3.49         	-1.013250e+02
3.495        	-1.013250e+02
3.5          	-1.013250e+02
3.505        	-1.013250e+02
3.51         	-1.013250e+02
3.515        	-1.013250e+02
3.52         	-1.013250e+02
3.525        	-1.013250e+02
3.53         	-1.013250e+02
3.535        	-1.013250e+02
3.54         	-1.013250e+02
3.545        	-1.013250e+02
3.55         	-1.013250e+02
3.555        	-1.013250e+02
3.56         	-1.013250e+02
3.565        	-1.013250e+02
3.57         	-1.013250e+02
3.575        	-1.013250e+02
3.58         	-1.013250e+02
3.585        	-1.013250e+02
3.59         	-1.013250e+02
3.595        	-1.013250e+02
3.6          	-1.013250e+02
3.605        	-1.013250e+02
3.61         	-1.013250e+02
3.615        	-1.013250e+02
3.62         	-1.013250e+02
3.625        	-1.013250e+02
3.63         	-1.013250e+02
3.635        	-1.013250e+02
3.64         	-1.013250e+02
3.645        	-1.013250e+02
3.65         	-1.013250e+02
3.655        	-1.013250e+02
3.66         	-1.013250e+02
3.665        	-1.013250e+02
3.67         	-1.013250e+02
3.675        	-1.013250e+02
3.68         	-1.013250e+02
3.685        	-1.013250e+02
3.69         	-1.013250e+02
3.695        	-1.013250e+02
3.7          	-1.013250e+02
3.705        	-1.013250e+02
3.71         	-1.013250e+02
3.715        	-1.013250e+02
3.72         	-1.013250e+02
3.725        	-1.013250e+02
3.73         	-1.013250e+02
3.735        	-1.013250e+02
3.74         	-1.013250e+02
3.745        	-1.013250e+02
3.75         	-1.013250e+02
3.755        	-1.013250e+02
3.76         	-1.013250e+02
3.765        	-1.013250e+02
3.77         	-1.013250e+02
3.775        	-1.013250e+02
3.78         	-1.013250e+02
3.785        	-1.013250e+02
3.79         	-1.013250e+02
3.795        	-1.013250e+02
3.8          	-1.013250e+02
3.805        	-1.013250e+02
3.81         	-1.013250e+02
3.815        	-1.013250e+02
3.82         	-1.013250e+02
3.825        	-1.013250e+02
3.83         	-1.013250e+02
3.835        	-1.013250e+02
3.84         	-1.013250e+02
3.845        	-1.013250e+02
3.85         	-1.013250e+02
3.855        	-1.013250e+02
3.86         	-1.013250e+02
3.865        	-1.013250e+02
3.87         	-1.013250e+02
3.875        	-1.013250e+02
3.88         	-1.013250e+02
3.885        	-1.013250e+02
3.89         	-1.013250e+02
3.895        	-1.013250e+02
3.9          	-1.013250e+02
3.905        	-1.013250e+02
3.91         	-1.013250e+02
3.915        	-1.013250e+02
3.92         	-1.013250e+02
3.925        	-1.013250e+02
3.93         	-1.013250e+02
3.935        	-1.013250e+02
3.94         	-1.013250e+02
3.945        	-1.013250e+02
3.95         	-1.013250e+02
3.955        	-1.013250e+02
3.96         	-1.013250e+02
3.965        	-1.013250e+02
3.97         	-1.013250e+02
3.975        	-1.013250e+02
3.98         	-1.013250e+02
3.985        	-1.013250e+02
3.99         	-1.013250e+02
3.995        	-1.013250e+02
4            	-1.013250e+02
4.005        	-1.013250e+02
4.01         	-1.013250e+02
4.015        	-1.013250e+02
4.02         	-1.013250e+02
4.025        	-1.013250e+02
4.03         	-1.013250e+02
4.035        	-1.013250e+02
4.04         	-1.013250e+02
4.045        	-1.013250e+02
4.05         	-1.013250e+02
4.055        	-1.013250e+02
4.06         	-1.013250e+02
4.065        	-1.013250e+02
4.07         	-1.013250e+02
4.075        	-1.013250e+02
4.08         	-1.013250e+02
4.085        	-1.013250e+02
4.09         	-1.013250e+02
4.095        	-1.013250e+02
4.1          	-1.013250e+02
4.105        	-1.013250e+02
4.11         	-1.013250e+02
4.115        	-1.013250e+02
4.12         	-1.013250e+02
4.125        	-1.013250e+02
4.13         	-1.013250e+02
4.135        	-1.013250e+02
4.14         	-1.013250e+02
4.145        	-1.013250e+02
4.15         	-1.013250e+02
4.155        	-1.013250e+02
4.16         	-1.013250e+02
4.165        	-1.013250e+02
4.17         	-1.013250e+02
4.175        	-1.013250e+02
4.18         	-1.013250e+02
4.185        	-1.013250e+02
4.19         	-1.013250e+02
4.195        	-1.013250e+02
4.2          	-1.013250e+02
4.205        	-1.013250e+02
4.21         	-1.013250e+02
4.215        	-1.013250e+02
4.22         	-1.013250e+02
4.225        	-1.013250e+02
4.23         	-1.013250e+02
4.235        	-1.013250e+02
4.24         	-1.013250e+02
4.245        	-1.013250e+02
4.25         	-1.013250e+02
4.255        	-1.013250e+02
4.26         	-1.013250e+02
4.265        	-1.013250e+02
4.27         	-1.013250e+02
4.275        	-1.013250e+02
4.28         	-1.013250e+02
4.285        	-1.013250e+02
4.29         	-1.013250e+02
4.295        	-1.013250e+02
4.3          	-1.013250e+02
4.305        	-1.013250e+02
4.31         	-1.013250e+02
4.315        	-1.013250e+02
4.32         	-1.013250e+02
4.325        	-1.013250e+02
4.33         	-1.013250e+02
4.335        	-1.013250e+02
4.34         	-1.013250e+02
4.345        	-1.013250e+02
4.35         	-1.013250e+02
4.355        	-1.013250e+02
4.36         	-1.013250e+02
4.365        	-1.013250e+02
4.37         	-1.013250e+02
4.375        	-1.013250e+02
4.38         	-1.013250e+02
4.385        	-1.013250e+02
4.39         	-1.013250e+02
4.395        	-1.013250e+02
4.4          	-1.013250e+02
4.405        	-1.013250e+02
4.41         	-1.013250e+02
4.415        	-1.013250e+02
4.42         	-1.013250e+02
4.425        	-1.013250e+02
4.43         	-1.013250e+02
4.435        	-1.013250e+02
4.44         	-1.013250e+02
4.445        	-1.013250e+02
4.45         	-1.013250e+02
4.455        	-1.013250e+02
4.46         	-1.013250e+02
4.465        	-1.013250e+02
4.47         	-1.013250e+02
4.475        	-1.013250e+02
4.48         	-1.013250e+02
4.485        	-1.013250e+02
4.49         	-1.013250e+02
4.495        	-1.013250e+02
4.5          	-1.013250e+02
4.505        	-1.013250e+02
4.51         	-1.013250e+02
4.515        	-1.013250e+02
4.52         	-1.013250e+02
4.525        	-1.013250e+02
4.53         	-1.013250e+02
4.535        	-1.013250e+02
4.54         	-1.013250e+02
4.545        	-1.013250e+02
4.55         	-1.013250e+02
4.555        	-1.013250e+02
4.56         	-1.013250e+02
4.565        	-1.013250e+02
4.57         	-1.013250e+02
4.575        	-1.013250e+02
4.58         	-1.013250e+02
4.585        	-1.013250e+02
4.59         	-1.013250e+02
4.595        	-1.013250e+02
4.6          	-1.013250e+02
4.605        	-1.013250e+02
4.61         	-1.013250e+02
4.615        	-1.013250e+02
4.62         	-1.013250e+02
4.625        	-1.013250e+02
4.63         	-1.013250e+02
4.635        	-1.013250e+02
4.64         	-1.013250e+02
4.645        	-1.013250e+02
4.65         	-1.013250e+02
4.655        	-1.013250e+02
4.66         	-1.013250e+02
4.665        	-1.013250e+02
4.67         	-1.013250e+02
4.675        	-1.013250e+02
4.68         	-1.013250e+02
4.685        	-1.013250e+02
4.69         	-1.013250e+02
4.695        	-1.013250e+02
4.7          	-1.013250e+02
4.705        	-1.013250e+02
4.71         	-1.013250e+02
4.715        	-1.013250e+02
4.72         	-1.013250e+02
4.725        	-1.013250e+02
4.73         	-1.013250e+02
4.735        	-1.013250e+02
4.74         	-1.013250e+02
4.745        	-1.013250e+02
4.75         	-1.013250e+02
4.755        	-1.013250e+02
4.76         	-1.013250e+02
4.765        	-1.013250e+02
4.77         	-1.013250e+02
4.775        	-1.013250e+02
4.78         	-1.013250e+02
4.785        	-1.013250e+02
4.79         	-1.013250e+02
4.795        	-1.013250e+02
4.8          	-1.013250e+02
4.805        	-1.013250e+02
4.81         	-1.013250e+02
4.815        	-1.013250e+02
4.82         	-1.013250e+02
4.825        	-1.013250e+02
4.83         	-1.013250e+02
4.835        	-1.013250e+02
4.84         	-1.013250e+02
4.845        	-1.013250e+02
4.85         	-1.013250e+02
4.855        	-1.013250e+02
4.86         	-1.013250e+02
4.865        	-1.013250e+02
4.87         	-1.013250e+02
4.875        	-1.013250e+02
4.88         	-1.013250e+02
4.885        	-1.013250e+02
4.89         	-1.013250e+02
4.895        	-1.013250e+02
4.9          	-1.013250e+02
4.905        	-1.013250e+02
4.91         	-1.013250e+02
4.915        	-1.013250e+02
4.92         	-1.013250e+02
4.925        	-1.013250e+02
4.93         	-1.013250e+02
4.935        	-1.013250e+02
4.94         	-1.013250e+02
4.945        	-1.013250e+02
4.95         	-1.013250e+02
4.955        	-1.013250e+02
4.96         	-1.013250e+02
