#      x          Cp  
     1.00003    0.21282
     0.99183    0.19169
     0.98065    0.16282
     0.96762    0.13287
     0.95309    0.10350
     0.93754    0.07580
     0.92142    0.05026
     0.90498    0.02703
     0.88839    0.00581
     0.87172   -0.01403
     0.85501   -0.03222
     0.83827   -0.04959
     0.82151   -0.06601
     0.80475   -0.08176
     0.78798   -0.09686
     0.77121   -0.11156
     0.75443   -0.12595
     0.73765   -0.13996
     0.72086   -0.15378
     0.70408   -0.16743
     0.68729   -0.18115
     0.67052   -0.19467
     0.65374   -0.20811
     0.63697   -0.22178
     0.62021   -0.23524
     0.60346   -0.24905
     0.58671   -0.26275
     0.56998   -0.27670
     0.55326   -0.29071
     0.53655   -0.30503
     0.51986   -0.31936
     0.50319   -0.33373
     0.48654   -0.34862
     0.46991   -0.36322
     0.45330   -0.37821
     0.43673   -0.39301
     0.42018   -0.40754
     0.40366   -0.42207
     0.38718   -0.43575
     0.37073   -0.44889
     0.35433   -0.46398
     0.33797   -0.49281
     0.32167   -0.55265
     0.30543   -0.57710
     0.28925   -0.59305
     0.27315   -0.61252
     0.25713   -0.63468
     0.24122   -0.65933
     0.22545   -0.68670
     0.20985   -0.71713
     0.19451   -0.75168
     0.17954   -0.79043
     0.16501   -0.83085
     0.15095   -0.87037
     0.13735   -0.90631
     0.12425   -0.93677
     0.11167   -0.95905
     0.09967   -0.97301
     0.08830   -0.97615
     0.07763   -0.96911
     0.06775   -0.95100
     0.05873   -0.92242
     0.05059   -0.88401
     0.04335   -0.83782
     0.03697   -0.78392
     0.03138   -0.72444
     0.02650   -0.65962
     0.02225   -0.58940
     0.01854   -0.51460
     0.01530   -0.43547
     0.01247   -0.35062
     0.01000   -0.25920
     0.00785   -0.16102
     0.00598   -0.05568
     0.00436    0.05837
     0.00299    0.18127
     0.00184    0.31192
     0.00092    0.44859
     0.00021    0.58766
    -0.00029    0.72115
    -0.00057    0.83846
    -0.00065    0.93040
    -0.00052    0.98685
    -0.00016    0.99819
     0.00045    0.95942
     0.00133    0.87482
     0.00248    0.75878
     0.00390    0.63125
     0.00559    0.50820
     0.00756    0.39941
     0.00979    0.30996
     0.01232    0.23812
     0.01516    0.18290
     0.01837    0.14166
     0.02199    0.11126
     0.02611    0.09023
     0.03084    0.07598
     0.03632    0.06699
     0.04274    0.06242
     0.05032    0.05995
     0.05933    0.05860
     0.06998    0.05626
     0.08235    0.05166
     0.09626    0.04252
     0.11131    0.02885
     0.12704    0.01051
     0.14308   -0.01118
     0.15916   -0.03457
     0.17517   -0.05837
     0.19105   -0.08056
     0.20684   -0.09732
     0.22265   -0.10867
     0.23851   -0.11680
     0.25447   -0.12246
     0.27050   -0.12668
     0.28661   -0.12923
     0.30279   -0.13082
     0.31904   -0.13143
     0.33536   -0.13116
     0.35173   -0.13031
     0.36815   -0.12884
     0.38461   -0.12686
     0.40112   -0.12452
     0.41767   -0.12181
     0.43425   -0.11869
     0.45087   -0.11541
     0.46751   -0.11184
     0.48418   -0.10800
     0.50088   -0.10399
     0.51760   -0.09993
     0.53434   -0.09556
     0.55110   -0.09116
     0.56788   -0.08661
     0.58467   -0.08200
     0.60147   -0.07715
     0.61829   -0.07230
     0.63511   -0.06727
     0.65195   -0.06218
     0.66879   -0.05686
     0.68564   -0.05149
     0.70249   -0.04596
     0.71935   -0.04024
     0.73621   -0.03441
     0.75307   -0.02834
     0.76993   -0.02213
     0.78678   -0.01577
     0.80364   -0.00925
     0.82048   -0.00272
     0.83732    0.00377
     0.85414    0.01008
     0.87094    0.01603
     0.88771    0.02154
     0.90439    0.02659
     0.92091    0.03123
     0.93713    0.03554
     0.95277    0.05416
     0.96738    0.11407
     0.98048    0.15736
     0.99173    0.19073
     0.99997    0.21282
