#      x          Cp  
     1.00000    0.09056
     0.99190    0.07626
     0.97932    0.05631
     0.96581    0.03827
     0.95218    0.02248
     0.93854    0.00833
     0.92490   -0.00436
     0.91125   -0.01601
     0.89761   -0.02679
     0.88396   -0.03699
     0.87031   -0.04648
     0.85666   -0.05564
     0.84301   -0.06437
     0.82935   -0.07264
     0.81570   -0.08089
     0.80205   -0.08873
     0.78839   -0.09651
     0.77474   -0.10399
     0.76108   -0.11143
     0.74742   -0.11888
     0.73377   -0.12605
     0.72011   -0.13328
     0.70645   -0.14050
     0.69279   -0.14765
     0.67913   -0.15478
     0.66547   -0.16192
     0.65182   -0.16920
     0.63816   -0.17630
     0.62450   -0.18371
     0.61084   -0.19101
     0.59719   -0.19837
     0.58353   -0.20579
     0.56987   -0.21346
     0.55622   -0.22121
     0.54257   -0.22893
     0.52891   -0.23681
     0.51526   -0.24488
     0.50161   -0.25309
     0.48796   -0.26148
     0.47431   -0.26997
     0.46066   -0.27872
     0.44702   -0.28767
     0.43338   -0.29673
     0.41974   -0.30607
     0.40610   -0.31576
     0.39246   -0.32560
     0.37883   -0.33569
     0.36520   -0.34627
     0.35158   -0.35696
     0.33795   -0.36810
     0.32433   -0.37980
     0.31072   -0.39172
     0.29711   -0.40420
     0.28351   -0.41730
     0.26992   -0.43091
     0.25633   -0.44533
     0.24275   -0.46024
     0.22918   -0.47625
     0.21562   -0.49314
     0.20207   -0.51131
     0.18854   -0.53070
     0.17502   -0.55165
     0.16153   -0.57462
     0.14806   -0.59982
     0.13462   -0.62754
     0.12122   -0.65906
     0.10786   -0.69520
     0.09457   -0.73644
     0.08136   -0.78637
     0.06827   -0.84617
     0.05536   -0.92120
     0.04275   -1.02154
     0.03073   -1.17257
     0.02011   -1.54890
     0.01219   -2.09490
     0.00715   -2.22095
     0.00399   -2.46948
     0.00194   -2.87982
     0.00067   -3.09123
     0.00007   -2.46005
     0.00007   -1.03566
     0.00067    0.28179
     0.00194    0.87343
     0.00399    0.99995
     0.00715    0.93879
     0.01219    0.80202
     0.02011    0.65089
     0.03073    0.52138
     0.04275    0.42982
     0.05536    0.36073
     0.06827    0.30984
     0.08136    0.26935
     0.09457    0.23717
     0.10786    0.21031
     0.12122    0.18806
     0.13462    0.16914
     0.14806    0.15274
     0.16153    0.13864
     0.17502    0.12638
     0.18854    0.11555
     0.20207    0.10601
     0.21562    0.09761
     0.22918    0.09007
     0.24275    0.08342
     0.25633    0.07734
     0.26992    0.07203
     0.28351    0.06721
     0.29711    0.06295
     0.31072    0.05907
     0.32433    0.05553
     0.33795    0.05248
     0.35158    0.04967
     0.36520    0.04708
     0.37883    0.04489
     0.39246    0.04283
     0.40610    0.04100
     0.41974    0.03945
     0.43338    0.03801
     0.44702    0.03669
     0.46066    0.03559
     0.47431    0.03462
     0.48796    0.03374
     0.50161    0.03301
     0.51526    0.03238
     0.52891    0.03185
     0.54257    0.03137
     0.55622    0.03096
     0.56987    0.03073
     0.58353    0.03060
     0.59719    0.03044
     0.61084    0.03035
     0.62450    0.03034
     0.63816    0.03052
     0.65182    0.03059
     0.66547    0.03088
     0.67913    0.03116
     0.69279    0.03151
     0.70645    0.03194
     0.72011    0.03249
     0.73377    0.03312
     0.74742    0.03374
     0.76108    0.03462
     0.77474    0.03554
     0.78839    0.03651
     0.80205    0.03774
     0.81570    0.03903
     0.82935    0.04064
     0.84301    0.04227
     0.85666    0.04424
     0.87031    0.04652
     0.88396    0.04903
     0.89761    0.05204
     0.91125    0.05542
     0.92490    0.05936
     0.93854    0.06389
     0.95218    0.06916
     0.96581    0.07502
     0.97932    0.08133
     0.99190    0.08734
     1.00000    0.09056
