#      x          Cp  
     1.00000    0.21574
     0.99169    0.19096
     0.98040    0.15761
     0.96730    0.12770
     0.95276    0.10094
     0.93725    0.07740
     0.92118    0.05697
     0.90482    0.03890
     0.88831    0.02291
     0.87173    0.00841
     0.85510   -0.00447
     0.83845   -0.01639
     0.82178   -0.02712
     0.80511   -0.03712
     0.78843   -0.04584
     0.77174   -0.05401
     0.75505   -0.06153
     0.73836   -0.07008
     0.72167   -0.08434
     0.70498   -0.11144
     0.68829   -0.14496
     0.67160   -0.14925
     0.65492   -0.15411
     0.63825   -0.16023
     0.62158   -0.16695
     0.60492   -0.17422
     0.58827   -0.18181
     0.57163   -0.18972
     0.55501   -0.19790
     0.53840   -0.20628
     0.52180   -0.21493
     0.50523   -0.22367
     0.48867   -0.23258
     0.47213   -0.24161
     0.45562   -0.25073
     0.43914   -0.26000
     0.42268   -0.26925
     0.40625   -0.27861
     0.38986   -0.28795
     0.37351   -0.29743
     0.35720   -0.30673
     0.34093   -0.31614
     0.32471   -0.32537
     0.30855   -0.33459
     0.29246   -0.34363
     0.27642   -0.35249
     0.26047   -0.36112
     0.24460   -0.36948
     0.22884   -0.37750
     0.21318   -0.38510
     0.19767   -0.39214
     0.18231   -0.39852
     0.16714   -0.40410
     0.15222   -0.40866
     0.13759   -0.41217
     0.12335   -0.41396
     0.10962   -0.41399
     0.09654   -0.41159
     0.08428   -0.40659
     0.07303   -0.39834
     0.06290   -0.38666
     0.05394   -0.37094
     0.04612   -0.35108
     0.03934   -0.32675
     0.03347   -0.29749
     0.02838   -0.26284
     0.02395   -0.22165
     0.02009   -0.17373
     0.01669   -0.11786
     0.01371   -0.05111
     0.01109    0.02653
     0.00879    0.11641
     0.00678    0.22094
     0.00504    0.33959
     0.00357    0.47026
     0.00236    0.60787
     0.00140    0.74323
     0.00070    0.86208
     0.00024    0.94958
     0.00003    0.99446
     0.00003    0.99446
     0.00024    0.94958
     0.00070    0.86208
     0.00140    0.74323
     0.00236    0.60787
     0.00357    0.47026
     0.00504    0.33959
     0.00678    0.22094
     0.00879    0.11641
     0.01109    0.02653
     0.01371   -0.05111
     0.01669   -0.11786
     0.02009   -0.17373
     0.02395   -0.22165
     0.02838   -0.26284
     0.03347   -0.29749
     0.03934   -0.32675
     0.04612   -0.35108
     0.05394   -0.37094
     0.06290   -0.38666
     0.07303   -0.39834
     0.08428   -0.40659
     0.09654   -0.41159
     0.10962   -0.41399
     0.12335   -0.41396
     0.13759   -0.41217
     0.15222   -0.40866
     0.16714   -0.40410
     0.18231   -0.39852
     0.19767   -0.39214
     0.21318   -0.38510
     0.22884   -0.37750
     0.24460   -0.36948
     0.26047   -0.36112
     0.27642   -0.35249
     0.29246   -0.34363
     0.30855   -0.33459
     0.32471   -0.32537
     0.34093   -0.31614
     0.35720   -0.30673
     0.37351   -0.29743
     0.38986   -0.28795
     0.40625   -0.27861
     0.42268   -0.26925
     0.43914   -0.26000
     0.45562   -0.25073
     0.47213   -0.24161
     0.48867   -0.23258
     0.50523   -0.22367
     0.52180   -0.21493
     0.53840   -0.20628
     0.55501   -0.19790
     0.57163   -0.18972
     0.58827   -0.18181
     0.60492   -0.17422
     0.62158   -0.16695
     0.63825   -0.16023
     0.65492   -0.15411
     0.67160   -0.14925
     0.68829   -0.14496
     0.70498   -0.11144
     0.72167   -0.08434
     0.73836   -0.07008
     0.75505   -0.06153
     0.77174   -0.05401
     0.78843   -0.04584
     0.80511   -0.03712
     0.82178   -0.02712
     0.83845   -0.01639
     0.85510   -0.00447
     0.87173    0.00841
     0.88831    0.02291
     0.90482    0.03890
     0.92118    0.05697
     0.93725    0.07740
     0.95276    0.10094
     0.96730    0.12770
     0.98040    0.15761
     0.99169    0.19096
     1.00000    0.21574
