#      x          Cp  
     1.00003    0.41187
     0.99183    0.23902
     0.98065    0.18955
     0.96762    0.14845
     0.95309    0.11721
     0.93754    0.09122
     0.92142    0.06899
     0.90498    0.04994
     0.88839    0.03329
     0.87172    0.01777
     0.85501    0.00434
     0.83827   -0.00858
     0.82151   -0.02047
     0.80475   -0.03176
     0.78798   -0.04234
     0.77121   -0.05257
     0.75443   -0.06250
     0.73765   -0.07197
     0.72086   -0.08124
     0.70408   -0.09024
     0.68729   -0.09939
     0.67052   -0.10817
     0.65374   -0.11673
     0.63697   -0.12560
     0.62021   -0.13397
     0.60346   -0.14274
     0.58671   -0.15116
     0.56998   -0.15978
     0.55326   -0.16826
     0.53655   -0.17700
     0.51986   -0.18555
     0.50319   -0.19397
     0.48654   -0.20291
     0.46991   -0.21133
     0.45330   -0.22020
     0.43673   -0.22887
     0.42018   -0.23741
     0.40366   -0.24637
     0.38718   -0.25505
     0.37073   -0.26368
     0.35433   -0.27236
     0.33797   -0.28120
     0.32167   -0.28985
     0.30543   -0.29825
     0.28925   -0.30719
     0.27315   -0.31549
     0.25713   -0.32432
     0.24122   -0.33327
     0.22545   -0.34274
     0.20985   -0.35245
     0.19451   -0.36653
     0.17954   -0.38430
     0.16501   -0.39933
     0.15095   -0.40974
     0.13735   -0.41358
     0.12425   -0.41002
     0.11167   -0.39630
     0.09967   -0.37341
     0.08830   -0.33883
     0.07763   -0.29397
     0.06775   -0.23844
     0.05873   -0.17355
     0.05059   -0.10043
     0.04335   -0.02174
     0.03697    0.06189
     0.03138    0.14807
     0.02650    0.23595
     0.02225    0.32495
     0.01854    0.41399
     0.01530    0.50215
     0.01247    0.58921
     0.01000    0.67429
     0.00785    0.75583
     0.00598    0.83169
     0.00436    0.89915
     0.00299    0.95386
     0.00184    0.98983
     0.00092    0.99937
     0.00021    0.97324
    -0.00029    0.90232
    -0.00057    0.78071
    -0.00065    0.60665
    -0.00052    0.37999
    -0.00016    0.10972
     0.00045   -0.18767
     0.00133   -0.48167
     0.00248   -0.73519
     0.00390   -0.92124
     0.00559   -1.04137
     0.00756   -1.10274
     0.00979   -1.11461
     0.01232   -1.09754
     0.01516   -1.05644
     0.01837   -1.00124
     0.02199   -0.93872
     0.02611   -0.86977
     0.03084   -0.79990
     0.03632   -0.72984
     0.04274   -0.65962
     0.05032   -0.59382
     0.05933   -0.53216
     0.06998   -0.47859
     0.08235   -0.43428
     0.09626   -0.40331
     0.11131   -0.38428
     0.12704   -0.37704
     0.14308   -0.37837
     0.15916   -0.38509
     0.17517   -0.39499
     0.19105   -0.40480
     0.20684   -0.40781
     0.22265   -0.40482
     0.23851   -0.39956
     0.25447   -0.39244
     0.27050   -0.38497
     0.28661   -0.37603
     0.30279   -0.36698
     0.31904   -0.35742
     0.33536   -0.34738
     0.35173   -0.33734
     0.36815   -0.32706
     0.38461   -0.31660
     0.40112   -0.30628
     0.41767   -0.29588
     0.43425   -0.28526
     0.45087   -0.27496
     0.46751   -0.26456
     0.48418   -0.25403
     0.50088   -0.24361
     0.51760   -0.23357
     0.53434   -0.22304
     0.55110   -0.21292
     0.56788   -0.20273
     0.58467   -0.19277
     0.60147   -0.18239
     0.61829   -0.17245
     0.63511   -0.16222
     0.65195   -0.15225
     0.66879   -0.14178
     0.68564   -0.13164
     0.70249   -0.12127
     0.71935   -0.11063
     0.73621   -0.10009
     0.75307   -0.08894
     0.76993   -0.07778
     0.78678   -0.06621
     0.80364   -0.05398
     0.82048   -0.04146
     0.83732   -0.02813
     0.85414   -0.01377
     0.87094    0.00139
     0.88771    0.01811
     0.90439    0.03654
     0.92091    0.05711
     0.93713    0.08092
     0.95277    0.10858
     0.96738    0.14179
     0.98048    0.18466
     0.99173    0.23578
     0.99997    0.41187
