#      x          Cp  
     1.00000    0.12244
     0.99190    0.10282
     0.97932    0.07166
     0.96581    0.03759
     0.95218    0.01057
     0.93854    0.00787
     0.92490    0.00446
     0.91125    0.00068
     0.89761   -0.00329
     0.88396   -0.00742
     0.87031   -0.01157
     0.85666   -0.01578
     0.84301   -0.01996
     0.82935   -0.02406
     0.81570   -0.02820
     0.80205   -0.03220
     0.78839   -0.03619
     0.77474   -0.04006
     0.76108   -0.04390
     0.74742   -0.04772
     0.73377   -0.05140
     0.72011   -0.05509
     0.70645   -0.05874
     0.69279   -0.06234
     0.67913   -0.06589
     0.66547   -0.06943
     0.65182   -0.07300
     0.63816   -0.07645
     0.62450   -0.08002
     0.61084   -0.08349
     0.59719   -0.08695
     0.58353   -0.09041
     0.56987   -0.09395
     0.55622   -0.09749
     0.54257   -0.10095
     0.52891   -0.10444
     0.51526   -0.10796
     0.50161   -0.11151
     0.48796   -0.11507
     0.47431   -0.11860
     0.46066   -0.12219
     0.44702   -0.12579
     0.43338   -0.12934
     0.41974   -0.13294
     0.40610   -0.13660
     0.39246   -0.14020
     0.37883   -0.14379
     0.36520   -0.14747
     0.35158   -0.15103
     0.33795   -0.15464
     0.32433   -0.15831
     0.31072   -0.16186
     0.29711   -0.16543
     0.28351   -0.16902
     0.26992   -0.17253
     0.25633   -0.17607
     0.24275   -0.17942
     0.22918   -0.18285
     0.21562   -0.18615
     0.20207   -0.18945
     0.18854   -0.19259
     0.17502   -0.19561
     0.16153   -0.19857
     0.14806   -0.20132
     0.13462   -0.20371
     0.12122   -0.20605
     0.10786   -0.20811
     0.09457   -0.20937
     0.08136   -0.21050
     0.06827   -0.21024
     0.05536   -0.20848
     0.04275   -0.20383
     0.03073   -0.19303
     0.02011   -0.16945
     0.01219   -0.12011
     0.00715   -0.03562
     0.00399    0.10153
     0.00194    0.31629
     0.00067    0.63801
     0.00007    0.95092
     0.00007    0.95092
     0.00067    0.63801
     0.00194    0.31629
     0.00399    0.10153
     0.00715   -0.03562
     0.01219   -0.12011
     0.02011   -0.16945
     0.03073   -0.19303
     0.04275   -0.20383
     0.05536   -0.20848
     0.06827   -0.21024
     0.08136   -0.21050
     0.09457   -0.20937
     0.10786   -0.20811
     0.12122   -0.20605
     0.13462   -0.20371
     0.14806   -0.20132
     0.16153   -0.19857
     0.17502   -0.19561
     0.18854   -0.19259
     0.20207   -0.18945
     0.21562   -0.18615
     0.22918   -0.18285
     0.24275   -0.17942
     0.25633   -0.17607
     0.26992   -0.17253
     0.28351   -0.16902
     0.29711   -0.16543
     0.31072   -0.16186
     0.32433   -0.15831
     0.33795   -0.15464
     0.35158   -0.15103
     0.36520   -0.14747
     0.37883   -0.14379
     0.39246   -0.14020
     0.40610   -0.13660
     0.41974   -0.13294
     0.43338   -0.12934
     0.44702   -0.12579
     0.46066   -0.12219
     0.47431   -0.11860
     0.48796   -0.11507
     0.50161   -0.11151
     0.51526   -0.10796
     0.52891   -0.10444
     0.54257   -0.10095
     0.55622   -0.09749
     0.56987   -0.09395
     0.58353   -0.09041
     0.59719   -0.08695
     0.61084   -0.08349
     0.62450   -0.08002
     0.63816   -0.07645
     0.65182   -0.07300
     0.66547   -0.06943
     0.67913   -0.06589
     0.69279   -0.06234
     0.70645   -0.05874
     0.72011   -0.05509
     0.73377   -0.05140
     0.74742   -0.04772
     0.76108   -0.04390
     0.77474   -0.04006
     0.78839   -0.03619
     0.80205   -0.03220
     0.81570   -0.02820
     0.82935   -0.02406
     0.84301   -0.01996
     0.85666   -0.01578
     0.87031   -0.01157
     0.88396   -0.00742
     0.89761   -0.00329
     0.91125    0.00068
     0.92490    0.00446
     0.93854    0.00787
     0.95218    0.01057
     0.96581    0.03759
     0.97932    0.07166
     0.99190    0.10282
     1.00000    0.12244
