#      x          Cp  
     1.00006    0.41163
     0.99183    0.22981
     0.98063    0.17601
     0.96766    0.13060
     0.95328    0.09562
     0.93795    0.06570
     0.92209    0.04054
     0.90593    0.01845
     0.88963   -0.00133
     0.87324   -0.01895
     0.85682   -0.03541
     0.84037   -0.05020
     0.82389   -0.06439
     0.80741   -0.07743
     0.79092   -0.09009
     0.77441   -0.10184
     0.75790   -0.11322
     0.74138   -0.12444
     0.72486   -0.13484
     0.70834   -0.14534
     0.69181   -0.15536
     0.67529   -0.16526
     0.65876   -0.17471
     0.64224   -0.18449
     0.62572   -0.19370
     0.60921   -0.20306
     0.59270   -0.21193
     0.57620   -0.22125
     0.55971   -0.22992
     0.54323   -0.23900
     0.52676   -0.24759
     0.51031   -0.25651
     0.49386   -0.26495
     0.47745   -0.27376
     0.46105   -0.28225
     0.44467   -0.29051
     0.42832   -0.29911
     0.41199   -0.30729
     0.39570   -0.31545
     0.37944   -0.32365
     0.36321   -0.33154
     0.34703   -0.33950
     0.33090   -0.34742
     0.31481   -0.35481
     0.29879   -0.36267
     0.28283   -0.37022
     0.26695   -0.37796
     0.25118   -0.38616
     0.23554   -0.39461
     0.22009   -0.40491
     0.20490   -0.41863
     0.19021   -0.45167
     0.17600   -0.46030
     0.16211   -0.45655
     0.14848   -0.44440
     0.13512   -0.42479
     0.12207   -0.39728
     0.10940   -0.36318
     0.09720   -0.32128
     0.08558   -0.27261
     0.07469   -0.21781
     0.06465   -0.15595
     0.05557   -0.09003
     0.04749   -0.01968
     0.04041    0.05376
     0.03424    0.12937
     0.02890    0.20680
     0.02427    0.28557
     0.02026    0.36611
     0.01677    0.44791
     0.01373    0.53032
     0.01109    0.61339
     0.00878    0.69633
     0.00678    0.77708
     0.00505    0.85291
     0.00358    0.91956
     0.00236    0.97076
     0.00137    0.99798
     0.00061    0.99114
     0.00009    0.94027
    -0.00022    0.83931
    -0.00030    0.68899
    -0.00017    0.49197
     0.00019    0.24922
     0.00080   -0.02277
     0.00168   -0.29005
     0.00283   -0.52555
     0.00426   -0.71119
     0.00595   -0.84317
     0.00792   -0.92679
     0.01017   -0.97446
     0.01272   -0.99246
     0.01560   -0.98528
     0.01885   -0.96629
     0.02251   -0.93490
     0.02668   -0.89493
     0.03144   -0.85035
     0.03692   -0.80104
     0.04326   -0.74824
     0.05065   -0.69297
     0.05927   -0.63736
     0.06926   -0.58122
     0.08070   -0.52747
     0.09354   -0.47635
     0.10761   -0.43089
     0.12265   -0.39132
     0.13843   -0.35850
     0.15471   -0.33358
     0.17123   -0.31759
     0.18772   -0.31328
     0.20399   -0.33748
     0.21999   -0.34145
     0.23599   -0.33755
     0.25201   -0.33147
     0.26810   -0.32347
     0.28425   -0.31438
     0.30047   -0.30486
     0.31676   -0.29447
     0.33310   -0.28419
     0.34950   -0.27362
     0.36595   -0.26275
     0.38244   -0.25206
     0.39898   -0.24123
     0.41555   -0.23067
     0.43216   -0.22007
     0.44880   -0.20957
     0.46548   -0.19909
     0.48218   -0.18883
     0.49890   -0.17859
     0.51565   -0.16872
     0.53242   -0.15863
     0.54921   -0.14916
     0.56602   -0.13936
     0.58284   -0.12983
     0.59968   -0.12038
     0.61653   -0.11108
     0.63339   -0.10195
     0.65026   -0.09260
     0.66715   -0.08342
     0.68403   -0.07448
     0.70093   -0.06520
     0.71783   -0.05603
     0.73473   -0.04670
     0.75164   -0.03739
     0.76854   -0.02764
     0.78545   -0.01785
     0.80235   -0.00771
     0.81925    0.00297
     0.83615    0.01413
     0.85303    0.02605
     0.86990    0.03869
     0.88672    0.05254
     0.90348    0.06810
     0.92009    0.08545
     0.93640    0.10552
     0.95215    0.12949
     0.96691    0.15843
     0.98018    0.19643
     0.99158    0.24375
     0.99994    0.41163
