#      x          Cp  
     1.00008    0.41360
     0.99192    0.21965
     0.98083    0.15916
     0.96798    0.10643
     0.95370    0.06442
     0.93846    0.02804
     0.92267   -0.00380
     0.90657   -0.03211
     0.89031   -0.05769
     0.87397   -0.08129
     0.85758   -0.10265
     0.84115   -0.12336
     0.82471   -0.14215
     0.80825   -0.16076
     0.79177   -0.17797
     0.77529   -0.19498
     0.75880   -0.21084
     0.74229   -0.22701
     0.72579   -0.24220
     0.70927   -0.25717
     0.69276   -0.27204
     0.67624   -0.28662
     0.65972   -0.30079
     0.64320   -0.31518
     0.62669   -0.32912
     0.61017   -0.34324
     0.59366   -0.35734
     0.57716   -0.37109
     0.56067   -0.38519
     0.54419   -0.39908
     0.52772   -0.41339
     0.51126   -0.42723
     0.49482   -0.44174
     0.47840   -0.45626
     0.46200   -0.47103
     0.44564   -0.48627
     0.42931   -0.50194
     0.41304   -0.51878
     0.39686   -0.53906
     0.38080   -0.55683
     0.36481   -0.57161
     0.34887   -0.58599
     0.33299   -0.59883
     0.31716   -0.61092
     0.30139   -0.62262
     0.28568   -0.63301
     0.27004   -0.64286
     0.25449   -0.65200
     0.23902   -0.65991
     0.22365   -0.66710
     0.20840   -0.67325
     0.19329   -0.67848
     0.17835   -0.68225
     0.16359   -0.68475
     0.14907   -0.68611
     0.13485   -0.68576
     0.12101   -0.68336
     0.10764   -0.67920
     0.09489   -0.67227
     0.08292   -0.66369
     0.07188   -0.65141
     0.06190   -0.63680
     0.05305   -0.61897
     0.04530   -0.59768
     0.03859   -0.57353
     0.03278   -0.54531
     0.02775   -0.51213
     0.02339   -0.47472
     0.01959   -0.43176
     0.01628   -0.38079
     0.01337   -0.32130
     0.01083   -0.25380
     0.00860   -0.17267
     0.00666   -0.07743
     0.00498    0.03223
     0.00355    0.15739
     0.00237    0.29805
     0.00142    0.44984
     0.00071    0.60474
     0.00023    0.74893
    -0.00003    0.86821
    -0.00007    0.95297
     0.00010    0.99569
     0.00050    0.99218
     0.00114    0.94276
     0.00203    0.85633
     0.00318    0.74702
     0.00459    0.62897
     0.00625    0.51277
     0.00818    0.40509
     0.01038    0.30894
     0.01288    0.22451
     0.01570    0.15131
     0.01888    0.08842
     0.02247    0.03473
     0.02656   -0.01094
     0.03122   -0.04942
     0.03656   -0.08180
     0.04271   -0.10844
     0.04982   -0.13014
     0.05802   -0.14667
     0.06742   -0.15941
     0.07805   -0.16717
     0.08987   -0.17179
     0.10272   -0.17278
     0.11643   -0.17123
     0.13080   -0.16771
     0.14569   -0.16248
     0.16097   -0.15609
     0.17655   -0.14919
     0.19237   -0.14130
     0.20838   -0.13352
     0.22455   -0.12523
     0.24086   -0.11700
     0.25729   -0.10868
     0.27382   -0.10066
     0.29044   -0.09264
     0.30714   -0.08510
     0.32392   -0.07767
     0.34076   -0.07099
     0.35765   -0.06450
     0.37459   -0.05918
     0.39154   -0.05438
     0.40846   -0.05339
     0.42533   -0.04989
     0.44219   -0.04535
     0.45907   -0.04018
     0.47597   -0.03477
     0.49290   -0.02940
     0.50984   -0.02383
     0.52682   -0.01813
     0.54381   -0.01254
     0.56083   -0.00692
     0.57786   -0.00129
     0.59491    0.00429
     0.61198    0.00973
     0.62906    0.01532
     0.64615    0.02076
     0.66325    0.02626
     0.68036    0.03162
     0.69748    0.03717
     0.71461    0.04264
     0.73174    0.04823
     0.74888    0.05394
     0.76602    0.05958
     0.78316    0.06567
     0.80029    0.07175
     0.81743    0.07843
     0.83456    0.08531
     0.85168    0.09285
     0.86878    0.10111
     0.88584    0.11017
     0.90282    0.12068
     0.91965    0.13294
     0.93616    0.14737
     0.95207    0.16531
     0.96692    0.18790
     0.98020    0.21896
     0.99159    0.25940
     0.99992    0.41360
