#      x          Cp  
     1.00003    0.41259
     0.99183    0.23289
     0.98065    0.17968
     0.96762    0.13450
     0.95309    0.09937
     0.93754    0.06957
     0.92142    0.04364
     0.90498    0.02100
     0.88839    0.00085
     0.87172   -0.01812
     0.85501   -0.03491
     0.83827   -0.05119
     0.82151   -0.06640
     0.80475   -0.08103
     0.78798   -0.09493
     0.77121   -0.10852
     0.75443   -0.12184
     0.73765   -0.13472
     0.72086   -0.14746
     0.70408   -0.15999
     0.68729   -0.17274
     0.67052   -0.18520
     0.65374   -0.19751
     0.63697   -0.21024
     0.62021   -0.22255
     0.60346   -0.23541
     0.58671   -0.24802
     0.56998   -0.26099
     0.55326   -0.27395
     0.53655   -0.28736
     0.51986   -0.30073
     0.50319   -0.31416
     0.48654   -0.32837
     0.46991   -0.34223
     0.45330   -0.35683
     0.43673   -0.37149
     0.42018   -0.38630
     0.40366   -0.40190
     0.38718   -0.41755
     0.37073   -0.43355
     0.35433   -0.45004
     0.33797   -0.46720
     0.32167   -0.48470
     0.30543   -0.50253
     0.28925   -0.52169
     0.27315   -0.54090
     0.25713   -0.56164
     0.24122   -0.58359
     0.22545   -0.60735
     0.20985   -0.63282
     0.19451   -0.66523
     0.17954   -0.70413
     0.16501   -0.74196
     0.15095   -0.77664
     0.13735   -0.80597
     0.12425   -0.82910
     0.11167   -0.84261
     0.09967   -0.84783
     0.08830   -0.84129
     0.07763   -0.82456
     0.06775   -0.79652
     0.05873   -0.75807
     0.05059   -0.70968
     0.04335   -0.65407
     0.03697   -0.59081
     0.03138   -0.52250
     0.02650   -0.44944
     0.02225   -0.37147
     0.01854   -0.28942
     0.01530   -0.20392
     0.01247   -0.11367
     0.01000   -0.01805
     0.00785    0.08292
     0.00598    0.18894
     0.00436    0.30092
     0.00299    0.41816
     0.00184    0.53843
     0.00092    0.65865
     0.00021    0.77363
    -0.00029    0.87454
    -0.00057    0.95089
    -0.00065    0.99380
    -0.00052    0.99464
    -0.00016    0.94677
     0.00045    0.84983
     0.00133    0.71359
     0.00248    0.55762
     0.00390    0.40477
     0.00559    0.26911
     0.00756    0.15800
     0.00979    0.07401
     0.01232    0.01135
     0.01516   -0.03139
     0.01837   -0.05894
     0.02199   -0.07540
     0.02611   -0.08194
     0.03084   -0.08241
     0.03632   -0.07804
     0.04274   -0.06940
     0.05032   -0.05997
     0.05933   -0.04998
     0.06998   -0.04239
     0.08235   -0.03818
     0.09626   -0.04041
     0.11131   -0.04837
     0.12704   -0.06245
     0.14308   -0.08077
     0.15916   -0.10140
     0.17517   -0.12302
     0.19105   -0.14331
     0.20684   -0.15701
     0.22265   -0.16482
     0.23851   -0.16991
     0.25447   -0.17269
     0.27050   -0.17450
     0.28661   -0.17448
     0.30279   -0.17381
     0.31904   -0.17222
     0.33536   -0.16976
     0.35173   -0.16691
     0.36815   -0.16347
     0.38461   -0.15956
     0.40112   -0.15545
     0.41767   -0.15099
     0.43425   -0.14608
     0.45087   -0.14123
     0.46751   -0.13607
     0.48418   -0.13059
     0.50088   -0.12503
     0.51760   -0.11964
     0.53434   -0.11364
     0.55110   -0.10788
     0.56788   -0.10191
     0.58467   -0.09603
     0.60147   -0.08965
     0.61829   -0.08356
     0.63511   -0.07711
     0.65195   -0.07081
     0.66879   -0.06395
     0.68564   -0.05733
     0.70249   -0.05042
     0.71935   -0.04319
     0.73621   -0.03600
     0.75307   -0.02817
     0.76993   -0.02029
     0.78678   -0.01198
     0.80364   -0.00302
     0.82048    0.00626
     0.83732    0.01633
     0.85414    0.02739
     0.87094    0.03922
     0.88771    0.05254
     0.90439    0.06751
     0.92091    0.08451
     0.93713    0.10461
     0.95277    0.12846
     0.96738    0.15775
     0.98048    0.19646
     0.99173    0.24376
     0.99997    0.41259
