#      x          Cp  
     1.00004    0.41252
     0.99181    0.22670
     0.98063    0.17049
     0.96767    0.12279
     0.95327    0.08504
     0.93789    0.05289
     0.92194    0.02499
     0.90569    0.00032
     0.88928   -0.02150
     0.87279   -0.04191
     0.85625   -0.06048
     0.83968   -0.07765
     0.82311   -0.09429
     0.80651   -0.10959
     0.78991   -0.12455
     0.77329   -0.13896
     0.75668   -0.15272
     0.74005   -0.16621
     0.72343   -0.17946
     0.70680   -0.19220
     0.69017   -0.20503
     0.67355   -0.21767
     0.65692   -0.22992
     0.64030   -0.24246
     0.62369   -0.25474
     0.60707   -0.26681
     0.59047   -0.27931
     0.57388   -0.29137
     0.55730   -0.30396
     0.54073   -0.31614
     0.52417   -0.32867
     0.50764   -0.34146
     0.49112   -0.35397
     0.47462   -0.36688
     0.45814   -0.37991
     0.44170   -0.39330
     0.42529   -0.40698
     0.40893   -0.42146
     0.39264   -0.43753
     0.37642   -0.45151
     0.36026   -0.46505
     0.34415   -0.47802
     0.32809   -0.49044
     0.31208   -0.50257
     0.29613   -0.51443
     0.28025   -0.52591
     0.26444   -0.53694
     0.24872   -0.54749
     0.23310   -0.55756
     0.21758   -0.56731
     0.20220   -0.57651
     0.18696   -0.58471
     0.17190   -0.59256
     0.15706   -0.59923
     0.14250   -0.60545
     0.12828   -0.60949
     0.11450   -0.61338
     0.10130   -0.61435
     0.08883   -0.61440
     0.07727   -0.61187
     0.06675   -0.60587
     0.05736   -0.59787
     0.04911   -0.58639
     0.04194   -0.57086
     0.03573   -0.55218
     0.03035   -0.52853
     0.02568   -0.49932
     0.02162   -0.46472
     0.01806   -0.42264
     0.01494   -0.37165
     0.01220   -0.31108
     0.00979   -0.23751
     0.00768   -0.14854
     0.00585   -0.04293
     0.00427    0.07944
     0.00295    0.22087
     0.00188    0.37772
     0.00105    0.54052
     0.00046    0.69705
     0.00011    0.83145
    -0.00002    0.93065
     0.00007    0.98719
     0.00037    0.99838
     0.00092    0.96314
     0.00171    0.88866
     0.00276    0.78778
     0.00407    0.67487
     0.00564    0.56036
     0.00746    0.45161
     0.00956    0.35288
     0.01194    0.26348
     0.01465    0.18475
     0.01771    0.11633
     0.02118    0.05639
     0.02512    0.00385
     0.02962   -0.04104
     0.03479   -0.08111
     0.04073   -0.11485
     0.04759   -0.14369
     0.05551   -0.16830
     0.06458   -0.18813
     0.07485   -0.20384
     0.08628   -0.21513
     0.09874   -0.22320
     0.11206   -0.22784
     0.12607   -0.22995
     0.14060   -0.23000
     0.15552   -0.22840
     0.17076   -0.22500
     0.18624   -0.22111
     0.20192   -0.21605
     0.21776   -0.21045
     0.23374   -0.20446
     0.24984   -0.19794
     0.26604   -0.19128
     0.28232   -0.18450
     0.29869   -0.17732
     0.31514   -0.17044
     0.33164   -0.16347
     0.34821   -0.15678
     0.36482   -0.15027
     0.38147   -0.14377
     0.39814   -0.13879
     0.41481   -0.13435
     0.43148   -0.12844
     0.44817   -0.12226
     0.46488   -0.11594
     0.48161   -0.10933
     0.49837   -0.10262
     0.51516   -0.09586
     0.53196   -0.08942
     0.54878   -0.08238
     0.56562   -0.07585
     0.58248   -0.06906
     0.59935   -0.06231
     0.61624   -0.05571
     0.63313   -0.04881
     0.65004   -0.04219
     0.66695   -0.03543
     0.68387   -0.02839
     0.70080   -0.02169
     0.71773   -0.01465
     0.73467   -0.00748
     0.75160   -0.00006
     0.76854    0.00722
     0.78548    0.01525
     0.80242    0.02340
     0.81934    0.03183
     0.83627    0.04120
     0.85318    0.05091
     0.87007    0.06169
     0.88692    0.07360
     0.90369    0.08686
     0.92031    0.10227
     0.93663    0.12020
     0.95236    0.14187
     0.96707    0.16852
     0.98028    0.20408
     0.99163    0.24905
     0.99996    0.41252
