#      x          Cp  
     1.00004    0.41190
     0.99181    0.23304
     0.98063    0.18065
     0.96767    0.13713
     0.95327    0.10337
     0.93789    0.07513
     0.92194    0.05105
     0.90569    0.03009
     0.88928    0.01190
     0.87279   -0.00494
     0.85625   -0.02000
     0.83968   -0.03369
     0.82311   -0.04686
     0.80651   -0.05871
     0.78991   -0.07021
     0.77329   -0.08112
     0.75668   -0.09138
     0.74005   -0.10132
     0.72343   -0.11097
     0.70680   -0.12008
     0.69017   -0.12918
     0.67355   -0.13803
     0.65692   -0.14643
     0.64030   -0.15500
     0.62369   -0.16323
     0.60707   -0.17116
     0.59047   -0.17936
     0.57388   -0.18703
     0.55730   -0.19505
     0.54073   -0.20254
     0.52417   -0.21019
     0.50764   -0.21790
     0.49112   -0.22518
     0.47462   -0.23262
     0.45814   -0.23995
     0.44170   -0.24735
     0.42529   -0.25477
     0.40893   -0.26261
     0.39264   -0.27155
     0.37642   -0.27830
     0.36026   -0.28429
     0.34415   -0.28938
     0.32809   -0.29357
     0.31208   -0.29702
     0.29613   -0.29971
     0.28025   -0.30149
     0.26444   -0.30223
     0.24872   -0.30182
     0.23310   -0.30021
     0.21758   -0.29738
     0.20220   -0.29305
     0.18696   -0.28669
     0.17190   -0.27866
     0.15706   -0.26808
     0.14250   -0.25531
     0.12828   -0.23873
     0.11450   -0.21965
     0.10130   -0.19573
     0.08883   -0.16833
     0.07727   -0.13619
     0.06675   -0.09894
     0.05736   -0.05795
     0.04911   -0.01263
     0.04194    0.03690
     0.03573    0.08977
     0.03035    0.14682
     0.02568    0.20812
     0.02162    0.27340
     0.01806    0.34344
     0.01494    0.41846
     0.01220    0.49803
     0.00979    0.58234
     0.00768    0.67021
     0.00585    0.75892
     0.00427    0.84404
     0.00295    0.91940
     0.00188    0.97516
     0.00105    0.99970
     0.00046    0.98217
     0.00011    0.91643
    -0.00002    0.80405
     0.00007    0.64907
     0.00037    0.45486
     0.00092    0.23917
     0.00171    0.02268
     0.00276   -0.17627
     0.00407   -0.34370
     0.00564   -0.47955
     0.00746   -0.58389
     0.00956   -0.65947
     0.01194   -0.71617
     0.01465   -0.75454
     0.01771   -0.77781
     0.02118   -0.79074
     0.02512   -0.79568
     0.02962   -0.79225
     0.03479   -0.78533
     0.04073   -0.77228
     0.04759   -0.75555
     0.05551   -0.73636
     0.06458   -0.71417
     0.07485   -0.69036
     0.08628   -0.66490
     0.09874   -0.63960
     0.11206   -0.61407
     0.12607   -0.58921
     0.14060   -0.56523
     0.15552   -0.54218
     0.17076   -0.51943
     0.18624   -0.49827
     0.20192   -0.47751
     0.21776   -0.45765
     0.23374   -0.43867
     0.24984   -0.42019
     0.26604   -0.40254
     0.28232   -0.38561
     0.29869   -0.36897
     0.31514   -0.35333
     0.33164   -0.33817
     0.34821   -0.32385
     0.36482   -0.31019
     0.38147   -0.29694
     0.39814   -0.28579
     0.41481   -0.27557
     0.43148   -0.26399
     0.44817   -0.25236
     0.46488   -0.24084
     0.48161   -0.22921
     0.49837   -0.21768
     0.51516   -0.20628
     0.53196   -0.19542
     0.54878   -0.18404
     0.56562   -0.17338
     0.58248   -0.16258
     0.59935   -0.15193
     0.61624   -0.14157
     0.63313   -0.13099
     0.65004   -0.12080
     0.66695   -0.11057
     0.68387   -0.10010
     0.70080   -0.09008
     0.71773   -0.07976
     0.73467   -0.06935
     0.75160   -0.05874
     0.76854   -0.04833
     0.78548   -0.03716
     0.80242   -0.02589
     0.81934   -0.01436
     0.83627   -0.00185
     0.85318    0.01100
     0.87007    0.02498
     0.88692    0.04013
     0.90369    0.05672
     0.92031    0.07557
     0.93663    0.09706
     0.95236    0.12242
     0.96707    0.15288
     0.98028    0.19250
     0.99163    0.24123
     0.99996    0.41190
