#      x          Cp  
     1.00006    0.41783
     0.99183    0.22361
     0.98063    0.16257
     0.96766    0.10908
     0.95328    0.06635
     0.93795    0.02872
     0.92209   -0.00396
     0.90593   -0.03341
     0.88963   -0.06043
     0.87324   -0.08517
     0.85682   -0.10869
     0.84037   -0.13048
     0.82389   -0.15168
     0.80741   -0.17171
     0.79092   -0.19143
     0.77441   -0.21026
     0.75790   -0.22881
     0.74138   -0.24732
     0.72486   -0.26507
     0.70834   -0.28308
     0.69181   -0.30075
     0.67529   -0.31846
     0.65876   -0.33587
     0.64224   -0.35389
     0.62572   -0.37148
     0.60921   -0.38951
     0.59270   -0.40726
     0.57620   -0.42583
     0.55971   -0.44396
     0.54323   -0.46292
     0.52676   -0.48169
     0.51031   -0.50125
     0.49386   -0.52070
     0.47745   -0.54106
     0.46105   -0.56156
     0.44467   -0.58235
     0.42832   -0.60419
     0.41199   -0.62619
     0.39570   -0.64892
     0.37944   -0.67253
     0.36321   -0.69668
     0.34703   -0.72194
     0.33090   -0.74830
     0.31481   -0.77525
     0.29879   -0.80427
     0.28283   -0.83452
     0.26695   -0.86692
     0.25118   -0.90211
     0.23554   -0.94013
     0.22009   -0.98363
     0.20490   -1.03532
     0.19021   -1.11897
     0.17600   -1.17181
     0.16211   -1.21108
     0.14848   -1.24292
     0.13512   -1.26910
     0.12207   -1.28931
     0.10940   -1.30607
     0.09720   -1.31772
     0.08558   -1.32609
     0.07469   -1.33212
     0.06465   -1.33314
     0.05557   -1.33360
     0.04749   -1.33087
     0.04041   -1.32580
     0.03424   -1.31870
     0.02890   -1.30890
     0.02427   -1.29660
     0.02026   -1.27918
     0.01677   -1.25657
     0.01373   -1.22929
     0.01109   -1.19354
     0.00878   -1.14543
     0.00678   -1.08372
     0.00505   -1.00471
     0.00358   -0.90347
     0.00236   -0.77480
     0.00137   -0.61491
     0.00061   -0.42351
     0.00009   -0.20342
    -0.00022    0.03485
    -0.00030    0.27319
    -0.00017    0.50127
     0.00019    0.70217
     0.00080    0.85770
     0.00168    0.95664
     0.00283    0.99773
     0.00426    0.99041
     0.00595    0.94934
     0.00792    0.88867
     0.01017    0.81889
     0.01272    0.74707
     0.01560    0.67794
     0.01885    0.61257
     0.02251    0.55261
     0.02668    0.49831
     0.03144    0.44912
     0.03692    0.40526
     0.04326    0.36651
     0.05065    0.33264
     0.05927    0.30309
     0.06926    0.27833
     0.08070    0.25750
     0.09354    0.24078
     0.10761    0.22666
     0.12265    0.21459
     0.13843    0.20341
     0.15471    0.19164
     0.17123    0.17781
     0.18772    0.15944
     0.20399    0.12453
     0.21999    0.10418
     0.23599    0.09043
     0.25201    0.07941
     0.26810    0.07083
     0.28425    0.06404
     0.30047    0.05847
     0.31676    0.05437
     0.33310    0.05096
     0.34950    0.04845
     0.36595    0.04680
     0.38244    0.04560
     0.39898    0.04503
     0.41555    0.04474
     0.43216    0.04494
     0.44880    0.04546
     0.46548    0.04635
     0.48218    0.04741
     0.49890    0.04877
     0.51565    0.05014
     0.53242    0.05196
     0.54921    0.05352
     0.56602    0.05559
     0.58284    0.05765
     0.59968    0.05985
     0.61653    0.06210
     0.63339    0.06438
     0.65026    0.06700
     0.66715    0.06961
     0.68403    0.07216
     0.70093    0.07511
     0.71783    0.07807
     0.73473    0.08126
     0.75164    0.08452
     0.76854    0.08824
     0.78545    0.09205
     0.80235    0.09622
     0.81925    0.10090
     0.83615    0.10604
     0.85303    0.11184
     0.86990    0.11830
     0.88672    0.12582
     0.90348    0.13484
     0.92009    0.14544
     0.93640    0.15847
     0.95215    0.17506
     0.96691    0.19634
     0.98018    0.22609
     0.99158    0.26559
     0.99994    0.41783
