#      x          Cp  
     1.00004    0.41345
     0.99181    0.22552
     0.98063    0.16811
     0.96767    0.11906
     0.95327    0.08000
     0.93789    0.04657
     0.92194    0.01741
     0.90569   -0.00849
     0.88928   -0.03151
     0.87279   -0.05310
     0.85625   -0.07286
     0.83968   -0.09119
     0.82311   -0.10899
     0.80651   -0.12546
     0.78991   -0.14159
     0.77329   -0.15718
     0.75668   -0.17213
     0.74005   -0.18683
     0.72343   -0.20130
     0.70680   -0.21529
     0.69017   -0.22938
     0.67355   -0.24333
     0.65692   -0.25689
     0.64030   -0.27080
     0.62369   -0.28448
     0.60707   -0.29799
     0.59047   -0.31197
     0.57388   -0.32555
     0.55730   -0.33973
     0.54073   -0.35354
     0.52417   -0.36777
     0.50764   -0.38232
     0.49112   -0.39667
     0.47462   -0.41150
     0.45814   -0.42654
     0.44170   -0.44203
     0.42529   -0.45793
     0.40893   -0.47476
     0.39264   -0.49336
     0.37642   -0.50992
     0.36026   -0.52615
     0.34415   -0.54194
     0.32809   -0.55733
     0.31208   -0.57260
     0.29613   -0.58779
     0.28025   -0.60281
     0.26444   -0.61761
     0.24872   -0.63219
     0.23310   -0.64659
     0.21758   -0.66102
     0.20220   -0.67530
     0.18696   -0.68899
     0.17190   -0.70289
     0.15706   -0.71617
     0.14250   -0.72974
     0.12828   -0.74186
     0.11450   -0.75484
     0.10130   -0.76583
     0.08883   -0.77709
     0.07727   -0.78687
     0.06675   -0.79416
     0.05736   -0.80051
     0.04911   -0.80416
     0.04194   -0.80436
     0.03573   -0.80207
     0.03035   -0.79518
     0.02568   -0.78302
     0.02162   -0.76584
     0.01806   -0.74124
     0.01494   -0.70749
     0.01220   -0.66382
     0.00979   -0.60581
     0.00768   -0.52997
     0.00585   -0.43385
     0.00427   -0.31592
     0.00295   -0.17033
     0.00188    0.00227
     0.00105    0.19413
     0.00046    0.39450
     0.00011    0.58577
    -0.00002    0.75137
     0.00007    0.87864
     0.00037    0.96295
     0.00092    0.99878
     0.00171    0.98676
     0.00276    0.93632
     0.00407    0.86053
     0.00564    0.77139
     0.00746    0.67811
     0.00956    0.58703
     0.01194    0.50013
     0.01465    0.41975
     0.01771    0.34663
     0.02118    0.28007
     0.02512    0.21954
     0.02962    0.16551
     0.03479    0.11585
     0.04073    0.07189
     0.04759    0.03259
     0.05551   -0.00249
     0.06458   -0.03274
     0.07485   -0.05853
     0.08628   -0.07946
     0.09874   -0.09647
     0.11206   -0.10935
     0.12607   -0.11893
     0.14060   -0.12575
     0.15552   -0.13026
     0.17076   -0.13242
     0.18624   -0.13355
     0.20192   -0.13309
     0.21776   -0.13169
     0.23374   -0.12956
     0.24984   -0.12661
     0.26604   -0.12325
     0.28232   -0.11953
     0.29869   -0.11523
     0.31514   -0.11101
     0.33164   -0.10655
     0.34821   -0.10220
     0.36482   -0.09789
     0.38147   -0.09346
     0.39814   -0.09039
     0.41481   -0.08775
     0.43148   -0.08360
     0.44817   -0.07911
     0.46488   -0.07443
     0.48161   -0.06939
     0.49837   -0.06420
     0.51516   -0.05890
     0.53196   -0.05387
     0.54878   -0.04819
     0.56562   -0.04298
     0.58248   -0.03747
     0.59935   -0.03196
     0.61624   -0.02656
     0.63313   -0.02084
     0.65004   -0.01535
     0.66695   -0.00972
     0.68387   -0.00377
     0.70080    0.00185
     0.71773    0.00783
     0.73467    0.01396
     0.75160    0.02034
     0.76854    0.02660
     0.78548    0.03361
     0.80242    0.04075
     0.81934    0.04816
     0.83627    0.05651
     0.85318    0.06518
     0.87007    0.07491
     0.88692    0.08574
     0.90369    0.09791
     0.92031    0.11217
     0.93663    0.12891
     0.95236    0.14934
     0.96707    0.17471
     0.98028    0.20890
     0.99163    0.25256
     0.99996    0.41345
