#      x          Cp  
     1.00003    0.20181
     0.99183    0.17818
     0.98065    0.14627
     0.96762    0.11797
     0.95309    0.09297
     0.93754    0.07113
     0.92142    0.05200
     0.90498    0.03537
     0.88839    0.02077
     0.87172    0.00741
     0.85501   -0.00413
     0.83827   -0.01484
     0.82151   -0.02436
     0.80475   -0.03296
     0.78798   -0.04067
     0.77121   -0.04837
     0.75443   -0.05837
     0.73765   -0.07607
     0.72086   -0.10475
     0.70408   -0.12605
     0.68729   -0.12898
     0.67052   -0.13391
     0.65374   -0.13981
     0.63697   -0.14633
     0.62021   -0.15319
     0.60346   -0.16043
     0.58671   -0.16787
     0.56998   -0.17554
     0.55326   -0.18336
     0.53655   -0.19137
     0.51986   -0.19946
     0.50319   -0.20764
     0.48654   -0.21602
     0.46991   -0.22437
     0.45330   -0.23289
     0.43673   -0.24141
     0.42018   -0.24996
     0.40366   -0.25867
     0.38718   -0.26732
     0.37073   -0.27599
     0.35433   -0.28470
     0.33797   -0.29348
     0.32167   -0.30220
     0.30543   -0.31087
     0.28925   -0.31978
     0.27315   -0.32853
     0.25713   -0.33767
     0.24122   -0.34718
     0.22545   -0.35744
     0.20985   -0.36885
     0.19451   -0.38335
     0.17954   -0.39988
     0.16501   -0.41426
     0.15095   -0.42441
     0.13735   -0.42842
     0.12425   -0.42499
     0.11167   -0.41199
     0.09967   -0.38954
     0.08830   -0.35578
     0.07763   -0.31159
     0.06775   -0.25680
     0.05873   -0.19252
     0.05059   -0.12010
     0.04335   -0.04184
     0.03697    0.04132
     0.03138    0.12721
     0.02650    0.21499
     0.02225    0.30402
     0.01854    0.39322
     0.01530    0.48180
     0.01247    0.56962
     0.01000    0.65561
     0.00785    0.73870
     0.00598    0.81627
     0.00436    0.88649
     0.00299    0.94438
     0.00184    0.98487
     0.00092    1.00000
     0.00021    0.98100
    -0.00029    0.91869
    -0.00057    0.80719
    -0.00065    0.64421
    -0.00052    0.42938
    -0.00016    0.17067
     0.00045   -0.11559
     0.00133   -0.40059
     0.00248   -0.64880
     0.00390   -0.83438
     0.00559   -0.95617
     0.00756   -1.02163
     0.00979   -1.04039
     0.01232   -1.02876
     0.01516   -0.99490
     0.01837   -0.94691
     0.02199   -0.89093
     0.02611   -0.83001
     0.03084   -0.76768
     0.03632   -0.70584
     0.04274   -0.64581
     0.05032   -0.58883
     0.05933   -0.53494
     0.06998   -0.48432
     0.08235   -0.43855
     0.09626   -0.40339
     0.11131   -0.38239
     0.12704   -0.34877
     0.14308   -0.34720
     0.15916   -0.35783
     0.17517   -0.37146
     0.19105   -0.38377
     0.20684   -0.38897
     0.22265   -0.38794
     0.23851   -0.38407
     0.25447   -0.37809
     0.27050   -0.37136
     0.28661   -0.36324
     0.30279   -0.35477
     0.31904   -0.34576
     0.33536   -0.33627
     0.35173   -0.32667
     0.36815   -0.31682
     0.38461   -0.30680
     0.40112   -0.29683
     0.41767   -0.28677
     0.43425   -0.27654
     0.45087   -0.26651
     0.46751   -0.25641
     0.48418   -0.24621
     0.50088   -0.23609
     0.51760   -0.22619
     0.53434   -0.21602
     0.55110   -0.20609
     0.56788   -0.19613
     0.58467   -0.18629
     0.60147   -0.17622
     0.61829   -0.16637
     0.63511   -0.15637
     0.65195   -0.14646
     0.66879   -0.13626
     0.68564   -0.12618
     0.70249   -0.11592
     0.71935   -0.10545
     0.73621   -0.09492
     0.75307   -0.08396
     0.76993   -0.07284
     0.78678   -0.06132
     0.80364   -0.04925
     0.82048   -0.03675
     0.83732   -0.02352
     0.85414   -0.00939
     0.87094    0.00563
     0.88771    0.02195
     0.90439    0.03975
     0.92091    0.05930
     0.93713    0.08100
     0.95277    0.10482
     0.96738    0.13053
     0.98048    0.15703
     0.99173    0.18316
     0.99997    0.20181
