#      x          Cp  
     1.00004    0.41175
     0.99181    0.23046
     0.98063    0.17677
     0.96767    0.13184
     0.95327    0.09673
     0.93789    0.06718
     0.92194    0.04182
     0.90569    0.01962
     0.88928    0.00022
     0.87279   -0.01781
     0.85625   -0.03404
     0.83968   -0.04888
     0.82311   -0.06320
     0.80651   -0.07620
     0.78991   -0.08884
     0.77329   -0.10091
     0.75668   -0.11232
     0.74005   -0.12343
     0.72343   -0.13426
     0.70680   -0.14457
     0.69017   -0.15489
     0.67355   -0.16499
     0.65692   -0.17465
     0.64030   -0.18452
     0.62369   -0.19408
     0.60707   -0.20336
     0.59047   -0.21297
     0.57388   -0.22207
     0.55730   -0.23158
     0.54073   -0.24060
     0.52417   -0.24984
     0.50764   -0.25920
     0.49112   -0.26817
     0.47462   -0.27738
     0.45814   -0.28656
     0.44170   -0.29590
     0.42529   -0.30534
     0.40893   -0.31532
     0.39264   -0.32656
     0.37642   -0.33563
     0.36026   -0.34405
     0.34415   -0.35166
     0.32809   -0.35848
     0.31208   -0.36469
     0.29613   -0.37030
     0.28025   -0.37516
     0.26444   -0.37915
     0.24872   -0.38220
     0.23310   -0.38426
     0.21758   -0.38538
     0.20220   -0.38528
     0.18696   -0.38343
     0.17190   -0.38032
     0.15706   -0.37505
     0.14250   -0.36809
     0.12828   -0.35777
     0.11450   -0.34562
     0.10130   -0.32913
     0.08883   -0.30983
     0.07727   -0.28633
     0.06675   -0.25805
     0.05736   -0.22636
     0.04911   -0.19038
     0.04194   -0.14997
     0.03573   -0.10598
     0.03035   -0.05724
     0.02568   -0.00345
     0.02162    0.05522
     0.01806    0.12003
     0.01494    0.19167
     0.01220    0.27020
     0.00979    0.35693
     0.00768    0.45192
     0.00585    0.55382
     0.00427    0.65977
     0.00295    0.76607
     0.00188    0.86446
     0.00105    0.94355
     0.00046    0.99107
     0.00011    0.99688
    -0.00002    0.95700
     0.00007    0.87234
     0.00037    0.74418
     0.00092    0.58311
     0.00171    0.40633
     0.00276    0.23115
     0.00407    0.07238
     0.00564   -0.06549
     0.00746   -0.17978
     0.00956   -0.27075
     0.01194   -0.34503
     0.01465   -0.40275
     0.01771   -0.44624
     0.02118   -0.47934
     0.02512   -0.50408
     0.02962   -0.52021
     0.03479   -0.53197
     0.04073   -0.53720
     0.04759   -0.53800
     0.05551   -0.53546
     0.06458   -0.52906
     0.07485   -0.51994
     0.08628   -0.50803
     0.09874   -0.49493
     0.11206   -0.48035
     0.12607   -0.46523
     0.14060   -0.44987
     0.15552   -0.43449
     0.17076   -0.41862
     0.18624   -0.40358
     0.20192   -0.38836
     0.21776   -0.37353
     0.23374   -0.35911
     0.24984   -0.34482
     0.26604   -0.33101
     0.28232   -0.31762
     0.29869   -0.30427
     0.31514   -0.29167
     0.33164   -0.27936
     0.34821   -0.26767
     0.36482   -0.25648
     0.38147   -0.24557
     0.39814   -0.23654
     0.41481   -0.22832
     0.43148   -0.21869
     0.44817   -0.20893
     0.46488   -0.19920
     0.48161   -0.18928
     0.49837   -0.17940
     0.51516   -0.16959
     0.53196   -0.16024
     0.54878   -0.15034
     0.56562   -0.14109
     0.58248   -0.13166
     0.59935   -0.12234
     0.61624   -0.11326
     0.63313   -0.10392
     0.65004   -0.09495
     0.66695   -0.08589
     0.68387   -0.07658
     0.70080   -0.06768
     0.71773   -0.05847
     0.73467   -0.04916
     0.75160   -0.03963
     0.76854   -0.03027
     0.78548   -0.02016
     0.80242   -0.00994
     0.81934    0.00055
     0.83627    0.01201
     0.85318    0.02380
     0.87007    0.03671
     0.88692    0.05078
     0.90369    0.06626
     0.92031    0.08396
     0.93663    0.10426
     0.95236    0.12840
     0.96707    0.15759
     0.98028    0.19588
     0.99163    0.24338
     0.99996    0.41175
