#      x          Cp  
     1.00006    0.41434
     0.99183    0.22379
     0.98063    0.16503
     0.96766    0.11413
     0.95328    0.07391
     0.93795    0.03879
     0.92209    0.00858
     0.90593   -0.01845
     0.88963   -0.04307
     0.87324   -0.06545
     0.85682   -0.08662
     0.84037   -0.10607
     0.82389   -0.12493
     0.80741   -0.14261
     0.79092   -0.15996
     0.77441   -0.17640
     0.75790   -0.19254
     0.74138   -0.20858
     0.72486   -0.22384
     0.70834   -0.23930
     0.69181   -0.25436
     0.67529   -0.26941
     0.65876   -0.28411
     0.64224   -0.29931
     0.62572   -0.31403
     0.60921   -0.32908
     0.59270   -0.34377
     0.57620   -0.35916
     0.55971   -0.37402
     0.54323   -0.38957
     0.52676   -0.40481
     0.51031   -0.42068
     0.49386   -0.43630
     0.47745   -0.45263
     0.46105   -0.46894
     0.44467   -0.48535
     0.42832   -0.50254
     0.41199   -0.51968
     0.39570   -0.53728
     0.37944   -0.55545
     0.36321   -0.57384
     0.34703   -0.59296
     0.33090   -0.61275
     0.31481   -0.63272
     0.29879   -0.65416
     0.28283   -0.67626
     0.26695   -0.69977
     0.25118   -0.72520
     0.23554   -0.75250
     0.22009   -0.78392
     0.20490   -0.82177
     0.19021   -0.88706
     0.17600   -0.92359
     0.16211   -0.94677
     0.14848   -0.96197
     0.13512   -0.97061
     0.12207   -0.97230
     0.10940   -0.96905
     0.09720   -0.95930
     0.08558   -0.94448
     0.07469   -0.92534
     0.06465   -0.89974
     0.05557   -0.87149
     0.04749   -0.83871
     0.04041   -0.80234
     0.03424   -0.76283
     0.02890   -0.71974
     0.02427   -0.67323
     0.02026   -0.62132
     0.01677   -0.56389
     0.01373   -0.50115
     0.01109   -0.43036
     0.00878   -0.34900
     0.00678   -0.25654
     0.00505   -0.15117
     0.00358   -0.03104
     0.00236    0.10482
     0.00137    0.25512
     0.00061    0.41509
     0.00009    0.57687
    -0.00022    0.72775
    -0.00030    0.85351
    -0.00017    0.94557
     0.00019    0.99439
     0.00080    0.99262
     0.00168    0.94228
     0.00283    0.85514
     0.00426    0.74790
     0.00595    0.63580
     0.00792    0.52925
     0.01017    0.43277
     0.01272    0.34891
     0.01560    0.27895
     0.01885    0.21932
     0.02251    0.17046
     0.02668    0.13085
     0.03144    0.09850
     0.03692    0.07317
     0.04326    0.05403
     0.05065    0.04041
     0.05927    0.03109
     0.06926    0.02632
     0.08070    0.02449
     0.09354    0.02552
     0.10761    0.02733
     0.12265    0.02929
     0.13843    0.03024
     0.15471    0.02866
     0.17123    0.02315
     0.18772    0.01106
     0.20399   -0.02119
     0.21999   -0.03699
     0.23599   -0.04569
     0.25201   -0.05177
     0.26810   -0.05550
     0.28425   -0.05760
     0.30047   -0.05869
     0.31676   -0.05846
     0.33310   -0.05776
     0.34950   -0.05631
     0.36595   -0.05416
     0.38244   -0.05174
     0.39898   -0.04882
     0.41555   -0.04577
     0.43216   -0.04237
     0.44880   -0.03876
     0.46548   -0.03490
     0.48218   -0.03098
     0.49890   -0.02684
     0.51565   -0.02281
     0.53242   -0.01840
     0.54921   -0.01435
     0.56602   -0.00985
     0.58284   -0.00543
     0.59968   -0.00093
     0.61653    0.00356
     0.63339    0.00801
     0.65026    0.01277
     0.66715    0.01748
     0.68403    0.02207
     0.70093    0.02705
     0.71783    0.03201
     0.73473    0.03717
     0.75164    0.04238
     0.76854    0.04805
     0.78545    0.05379
     0.80235    0.05990
     0.81925    0.06653
     0.83615    0.07363
     0.85303    0.08144
     0.86990    0.08991
     0.88672    0.09952
     0.90348    0.11070
     0.92009    0.12353
     0.93640    0.13889
     0.95215    0.15795
     0.96691    0.18181
     0.98018    0.21434
     0.99158    0.25653
     0.99994    0.41434
