#      x          Cp  
     1.00000    0.25829
     0.99045    0.23681
     0.97811    0.20641
     0.96429    0.17350
     0.94906    0.13902
     0.93262    0.10466
     0.91520    0.07127
     0.89707    0.03951
     0.87844    0.00957
     0.85949   -0.01857
     0.84032   -0.04516
     0.82101   -0.07046
     0.80161   -0.09470
     0.78216   -0.11802
     0.76267   -0.14057
     0.74317   -0.16267
     0.72365   -0.18438
     0.70414   -0.20584
     0.68463   -0.22710
     0.66514   -0.24828
     0.64567   -0.26944
     0.62621   -0.29081
     0.60679   -0.31208
     0.58741   -0.33373
     0.56806   -0.35551
     0.54875   -0.37750
     0.52950   -0.39989
     0.51031   -0.42237
     0.49117   -0.44525
     0.47211   -0.46819
     0.45313   -0.49137
     0.43423   -0.51459
     0.41543   -0.53724
     0.39673   -0.55965
     0.37815   -0.58102
     0.35969   -0.60290
     0.34137   -0.63568
     0.32321   -0.70759
     0.30523   -0.75114
     0.28744   -0.77074
     0.26988   -0.79418
     0.25258   -0.81988
     0.23558   -0.84748
     0.21893   -0.87642
     0.20269   -0.90656
     0.18694   -0.93736
     0.17174   -0.96857
     0.15719   -0.99988
     0.14337   -1.03107
     0.13036   -1.06158
     0.11821   -1.09135
     0.10695   -1.11994
     0.09658   -1.14740
     0.08709   -1.17296
     0.07844   -1.19695
     0.07056   -1.21935
     0.06338   -1.23892
     0.05686   -1.25641
     0.05091   -1.27185
     0.04548   -1.28413
     0.04052   -1.29250
     0.03598   -1.29702
     0.03181   -1.29775
     0.02799   -1.29269
     0.02448   -1.28104
     0.02125   -1.26306
     0.01830   -1.23527
     0.01559   -1.19592
     0.01311   -1.14425
     0.01087   -1.07849
     0.00884   -0.99554
     0.00702   -0.89229
     0.00542   -0.76878
     0.00403   -0.62538
     0.00285   -0.46282
     0.00188   -0.28386
     0.00111   -0.09478
     0.00056    0.09606
     0.00019    0.27987
     0.00002    0.44799
     0.00002    0.59592
     0.00019    0.72468
     0.00056    0.83262
     0.00111    0.91440
     0.00188    0.96869
     0.00285    0.99576
     0.00403    0.99829
     0.00542    0.98014
     0.00702    0.94587
     0.00884    0.89957
     0.01087    0.84541
     0.01311    0.78618
     0.01559    0.72436
     0.01830    0.66153
     0.02125    0.59927
     0.02448    0.53845
     0.02799    0.47904
     0.03181    0.42178
     0.03598    0.36700
     0.04052    0.31428
     0.04548    0.26388
     0.05091    0.21611
     0.05686    0.17084
     0.06338    0.12761
     0.07056    0.08653
     0.07844    0.04832
     0.08709    0.01236
     0.09658   -0.02120
     0.10695   -0.05181
     0.11821   -0.07975
     0.13036   -0.10471
     0.14337   -0.12675
     0.15719   -0.14563
     0.17174   -0.16167
     0.18694   -0.17494
     0.20269   -0.18558
     0.21893   -0.19370
     0.23558   -0.19986
     0.25258   -0.20387
     0.26988   -0.20630
     0.28744   -0.20693
     0.30523   -0.20649
     0.32321   -0.20484
     0.34137   -0.20215
     0.35969   -0.19852
     0.37815   -0.19424
     0.39673   -0.18930
     0.41543   -0.18371
     0.43423   -0.17781
     0.45313   -0.17137
     0.47211   -0.16461
     0.49117   -0.15760
     0.51031   -0.15029
     0.52950   -0.14282
     0.54875   -0.13509
     0.56806   -0.12725
     0.58741   -0.11926
     0.60679   -0.11110
     0.62621   -0.10290
     0.64567   -0.09452
     0.66514   -0.08609
     0.68463   -0.07760
     0.70414   -0.06908
     0.72365   -0.06060
     0.74317   -0.05224
     0.76267   -0.04412
     0.78216   -0.03635
     0.80161   -0.02901
     0.82101   -0.02218
     0.84032   -0.01597
     0.85949   -0.01091
     0.87844    0.03492
     0.89707    0.07409
     0.91520    0.09684
     0.93262    0.11602
     0.94906    0.13709
     0.96429    0.16237
     0.97811    0.19199
     0.99045    0.22963
     1.00000    0.25829
