#      x          Cp  
     1.00003    0.41199
     0.99183    0.23447
     0.98065    0.18248
     0.96762    0.13864
     0.95309    0.10480
     0.93754    0.07625
     0.92142    0.05155
     0.90498    0.03010
     0.88839    0.01112
     0.87172   -0.00670
     0.85501   -0.02236
     0.83827   -0.03752
     0.82151   -0.05162
     0.80475   -0.06513
     0.78798   -0.07791
     0.77121   -0.09037
     0.75443   -0.10255
     0.73765   -0.11428
     0.72086   -0.12585
     0.70408   -0.13719
     0.68729   -0.14873
     0.67052   -0.15994
     0.65374   -0.17098
     0.63697   -0.18241
     0.62021   -0.19337
     0.60346   -0.20485
     0.58671   -0.21604
     0.56998   -0.22752
     0.55326   -0.23896
     0.53655   -0.25078
     0.51986   -0.26251
     0.50319   -0.27423
     0.48654   -0.28664
     0.46991   -0.29864
     0.45330   -0.31128
     0.43673   -0.32388
     0.42018   -0.33654
     0.40366   -0.34986
     0.38718   -0.36311
     0.37073   -0.37657
     0.35433   -0.39036
     0.33797   -0.40465
     0.32167   -0.41909
     0.30543   -0.43365
     0.28925   -0.44926
     0.27315   -0.46467
     0.25713   -0.48126
     0.24122   -0.49866
     0.22545   -0.51742
     0.20985   -0.53736
     0.19451   -0.56333
     0.17954   -0.59479
     0.16501   -0.62456
     0.15095   -0.65062
     0.13735   -0.67085
     0.12425   -0.68437
     0.11167   -0.68798
     0.09967   -0.68289
     0.08830   -0.66592
     0.07763   -0.63857
     0.06775   -0.59995
     0.05873   -0.55107
     0.05059   -0.49263
     0.04335   -0.42730
     0.03697   -0.35501
     0.03138   -0.27825
     0.02650   -0.19751
     0.02225   -0.11284
     0.01854   -0.02513
     0.01530    0.06498
     0.01247    0.15829
     0.01000    0.25498
     0.00785    0.35460
     0.00598    0.45631
     0.00436    0.55983
     0.00299    0.66327
     0.00184    0.76315
     0.00092    0.85468
     0.00021    0.93098
    -0.00029    0.98258
    -0.00057    0.99993
    -0.00065    0.97547
    -0.00052    0.90303
    -0.00016    0.78051
     0.00045    0.61333
     0.00133    0.41816
     0.00248    0.22068
     0.00390    0.04608
     0.00559   -0.09525
     0.00756   -0.20001
     0.00979   -0.26924
     0.01232   -0.31332
     0.01516   -0.33500
     0.01837   -0.34084
     0.02199   -0.33595
     0.02611   -0.32158
     0.03084   -0.30223
     0.03632   -0.27906
     0.04274   -0.25257
     0.05032   -0.22663
     0.05933   -0.20136
     0.06998   -0.18007
     0.08235   -0.16384
     0.09626   -0.15607
     0.11131   -0.15587
     0.12704   -0.16350
     0.14308   -0.17668
     0.15916   -0.19309
     0.17517   -0.21115
     0.19105   -0.22824
     0.20684   -0.23864
     0.22265   -0.24309
     0.23851   -0.24494
     0.25447   -0.24461
     0.27050   -0.24350
     0.28661   -0.24065
     0.30279   -0.23733
     0.31904   -0.23320
     0.33536   -0.22832
     0.35173   -0.22318
     0.36815   -0.21755
     0.38461   -0.21154
     0.40112   -0.20543
     0.41767   -0.19907
     0.43425   -0.19232
     0.45087   -0.18571
     0.46751   -0.17886
     0.48418   -0.17175
     0.50088   -0.16461
     0.51760   -0.15771
     0.53434   -0.15024
     0.55110   -0.14306
     0.56788   -0.13572
     0.58467   -0.12852
     0.60147   -0.12083
     0.61829   -0.11348
     0.63511   -0.10580
     0.65195   -0.09829
     0.66879   -0.09026
     0.68564   -0.08248
     0.70249   -0.07444
     0.71935   -0.06609
     0.73621   -0.05780
     0.75307   -0.04887
     0.76993   -0.03991
     0.78678   -0.03053
     0.80364   -0.02049
     0.82048   -0.01013
     0.83732    0.00101
     0.85414    0.01316
     0.87094    0.02610
     0.88771    0.04055
     0.90439    0.05666
     0.92091    0.07486
     0.93713    0.09620
     0.95277    0.12132
     0.96738    0.15193
     0.98048    0.19204
     0.99173    0.24064
     0.99997    0.41199
