#      x          Cp  
     1.00000   -0.06435
     0.99169   -0.06529
     0.98040   -0.06634
     0.96730   -0.06753
     0.95276   -0.06883
     0.93725   -0.07023
     0.92118   -0.07174
     0.90482   -0.07337
     0.88831   -0.07513
     0.87173   -0.07705
     0.85510   -0.07915
     0.83845   -0.08145
     0.82178   -0.08401
     0.80511   -0.08684
     0.78843   -0.08999
     0.77174   -0.09348
     0.75505   -0.09737
     0.73836   -0.10167
     0.72167   -0.10642
     0.70498   -0.11163
     0.68829   -0.11732
     0.67160   -0.12342
     0.65492   -0.12994
     0.63825   -0.13693
     0.62158   -0.14441
     0.60492   -0.15237
     0.58827   -0.16076
     0.57163   -0.16956
     0.55501   -0.17868
     0.53840   -0.18807
     0.52180   -0.19770
     0.50523   -0.20746
     0.48867   -0.21735
     0.47213   -0.22733
     0.45562   -0.23735
     0.43914   -0.24743
     0.42268   -0.25749
     0.40625   -0.26756
     0.38986   -0.27758
     0.37351   -0.28760
     0.35720   -0.29750
     0.34093   -0.30736
     0.32471   -0.31707
     0.30855   -0.32668
     0.29246   -0.33609
     0.27642   -0.34529
     0.26047   -0.35423
     0.24460   -0.36287
     0.22884   -0.37113
     0.21318   -0.37895
     0.19767   -0.38619
     0.18231   -0.39276
     0.16714   -0.39850
     0.15222   -0.40321
     0.13759   -0.40677
     0.12335   -0.40866
     0.10962   -0.40869
     0.09654   -0.40631
     0.08428   -0.40122
     0.07303   -0.39285
     0.06290   -0.38090
     0.05394   -0.36491
     0.04612   -0.34468
     0.03934   -0.31991
     0.03347   -0.29017
     0.02838   -0.25494
     0.02395   -0.21336
     0.02009   -0.16490
     0.01669   -0.10823
     0.01371   -0.04123
     0.01109    0.03660
     0.00879    0.12675
     0.00678    0.23102
     0.00504    0.34898
     0.00357    0.47848
     0.00236    0.61455
     0.00140    0.74791
     0.00070    0.86470
     0.00024    0.95057
     0.00003    0.99456
     0.00003    0.99456
     0.00024    0.95057
     0.00070    0.86471
     0.00140    0.74791
     0.00236    0.61455
     0.00357    0.47849
     0.00504    0.34899
     0.00678    0.23102
     0.00879    0.12675
     0.01109    0.03660
     0.01371   -0.04123
     0.01669   -0.10822
     0.02009   -0.16490
     0.02395   -0.21335
     0.02838   -0.25494
     0.03347   -0.29017
     0.03934   -0.31991
     0.04612   -0.34468
     0.05394   -0.36490
     0.06290   -0.38090
     0.07303   -0.39285
     0.08428   -0.40122
     0.09654   -0.40631
     0.10962   -0.40869
     0.12335   -0.40865
     0.13759   -0.40676
     0.15222   -0.40321
     0.16714   -0.39849
     0.18231   -0.39275
     0.19767   -0.38619
     0.21318   -0.37895
     0.22884   -0.37113
     0.24460   -0.36287
     0.26047   -0.35423
     0.27642   -0.34529
     0.29246   -0.33609
     0.30855   -0.32668
     0.32471   -0.31707
     0.34093   -0.30736
     0.35720   -0.29749
     0.37351   -0.28760
     0.38986   -0.27758
     0.40625   -0.26755
     0.42268   -0.25749
     0.43914   -0.24743
     0.45562   -0.23735
     0.47213   -0.22733
     0.48867   -0.21735
     0.50523   -0.20746
     0.52180   -0.19769
     0.53840   -0.18807
     0.55501   -0.17868
     0.57163   -0.16955
     0.58827   -0.16076
     0.60492   -0.15236
     0.62158   -0.14440
     0.63825   -0.13693
     0.65492   -0.12994
     0.67160   -0.12342
     0.68829   -0.11732
     0.70498   -0.11163
     0.72167   -0.10642
     0.73836   -0.10167
     0.75505   -0.09736
     0.77174   -0.09348
     0.78843   -0.08999
     0.80511   -0.08684
     0.82178   -0.08401
     0.83845   -0.08145
     0.85510   -0.07914
     0.87173   -0.07705
     0.88831   -0.07513
     0.90482   -0.07337
     0.92118   -0.07174
     0.93725   -0.07023
     0.95276   -0.06883
     0.96730   -0.06753
     0.98040   -0.06634
     0.99169   -0.06529
     1.00000   -0.06435
