#      x          Cp  
     1.00008    0.41205
     0.99192    0.22242
     0.98083    0.16442
     0.96798    0.11447
     0.95370    0.07514
     0.93846    0.04142
     0.92267    0.01219
     0.90657   -0.01356
     0.89031   -0.03663
     0.87397   -0.05775
     0.85758   -0.07666
     0.84115   -0.09492
     0.82471   -0.11129
     0.80825   -0.12744
     0.79177   -0.14222
     0.77529   -0.15675
     0.75880   -0.17013
     0.74229   -0.18377
     0.72579   -0.19641
     0.70927   -0.20879
     0.69276   -0.22101
     0.67624   -0.23288
     0.65972   -0.24431
     0.64320   -0.25588
     0.62669   -0.26693
     0.61017   -0.27807
     0.59366   -0.28911
     0.57716   -0.29973
     0.56067   -0.31057
     0.54419   -0.32111
     0.52772   -0.33192
     0.51126   -0.34217
     0.49482   -0.35292
     0.47840   -0.36352
     0.46200   -0.37420
     0.44564   -0.38514
     0.42931   -0.39630
     0.41304   -0.40834
     0.39686   -0.42334
     0.38080   -0.43577
     0.36481   -0.44517
     0.34887   -0.45393
     0.33299   -0.46096
     0.31716   -0.46697
     0.30139   -0.47227
     0.28568   -0.47598
     0.27004   -0.47875
     0.25449   -0.48040
     0.23902   -0.48039
     0.22365   -0.47912
     0.20840   -0.47623
     0.19329   -0.47175
     0.17835   -0.46507
     0.16359   -0.45627
     0.14907   -0.44529
     0.13485   -0.43149
     0.12101   -0.41438
     0.10764   -0.39406
     0.09489   -0.36954
     0.08292   -0.34166
     0.07188   -0.30881
     0.06190   -0.27230
     0.05305   -0.23167
     0.04530   -0.18710
     0.03859   -0.13930
     0.03278   -0.08756
     0.02775   -0.03143
     0.02339    0.02847
     0.01959    0.09299
     0.01628    0.16353
     0.01337    0.24008
     0.01083    0.32196
     0.00860    0.41157
     0.00666    0.50765
     0.00498    0.60831
     0.00355    0.71087
     0.00237    0.81047
     0.00142    0.89882
     0.00071    0.96524
     0.00023    0.99807
    -0.00003    0.98914
    -0.00007    0.93533
     0.00010    0.83612
     0.00050    0.69368
     0.00114    0.52098
     0.00203    0.33672
     0.00318    0.15916
     0.00459    0.00084
     0.00625   -0.13275
     0.00818   -0.24035
     0.01038   -0.32421
     0.01288   -0.38872
     0.01570   -0.43712
     0.01888   -0.47228
     0.02247   -0.49656
     0.02656   -0.51209
     0.03122   -0.52014
     0.03656   -0.52232
     0.04271   -0.51914
     0.04982   -0.51176
     0.05802   -0.50004
     0.06742   -0.48597
     0.07805   -0.46831
     0.08987   -0.44961
     0.10272   -0.42929
     0.11643   -0.40864
     0.13080   -0.38811
     0.14569   -0.36774
     0.16097   -0.34785
     0.17655   -0.32894
     0.19237   -0.31021
     0.20838   -0.29274
     0.22455   -0.27561
     0.24086   -0.25936
     0.25729   -0.24370
     0.27382   -0.22897
     0.29044   -0.21474
     0.30714   -0.20150
     0.32392   -0.18876
     0.34076   -0.17719
     0.35765   -0.16614
     0.37459   -0.15663
     0.39154   -0.14791
     0.40846   -0.14355
     0.42533   -0.13663
     0.44219   -0.12876
     0.45907   -0.12036
     0.47597   -0.11185
     0.49290   -0.10349
     0.50984   -0.09505
     0.52682   -0.08657
     0.54381   -0.07831
     0.56083   -0.07010
     0.57786   -0.06198
     0.59491   -0.05397
     0.61198   -0.04619
     0.62906   -0.03832
     0.64615   -0.03066
     0.66325   -0.02299
     0.68036   -0.01552
     0.69748   -0.00789
     0.71461   -0.00038
     0.73174    0.00722
     0.74888    0.01491
     0.76602    0.02251
     0.78316    0.03056
     0.80029    0.03857
     0.81743    0.04720
     0.83456    0.05604
     0.85168    0.06556
     0.86878    0.07583
     0.88584    0.08694
     0.90282    0.09957
     0.91965    0.11402
     0.93616    0.13074
     0.95207    0.15106
     0.96692    0.17614
     0.98020    0.20987
     0.99159    0.25282
     0.99992    0.41205
