#      x          Cp  
     1.00003    0.41175
     0.99183    0.23651
     0.98065    0.18577
     0.96762    0.14329
     0.95309    0.11074
     0.93754    0.08347
     0.92142    0.06000
     0.90498    0.03976
     0.88839    0.02194
     0.87172    0.00527
     0.85501   -0.00927
     0.83827   -0.02331
     0.82151   -0.03630
     0.80475   -0.04870
     0.78798   -0.06038
     0.77121   -0.07172
     0.75443   -0.08276
     0.73765   -0.09336
     0.72086   -0.10377
     0.70408   -0.11393
     0.68729   -0.12426
     0.67052   -0.13425
     0.65374   -0.14404
     0.63697   -0.15418
     0.62021   -0.16383
     0.60346   -0.17394
     0.58671   -0.18374
     0.56998   -0.19377
     0.55326   -0.20372
     0.53655   -0.21398
     0.51986   -0.22410
     0.50319   -0.23415
     0.48654   -0.24480
     0.46991   -0.25499
     0.45330   -0.26571
     0.43673   -0.27632
     0.42018   -0.28689
     0.40366   -0.29799
     0.38718   -0.30892
     0.37073   -0.31993
     0.35433   -0.33112
     0.33797   -0.34262
     0.32167   -0.35411
     0.30543   -0.36552
     0.28925   -0.37773
     0.27315   -0.38950
     0.25713   -0.40212
     0.24122   -0.41519
     0.22545   -0.42918
     0.20985   -0.44386
     0.19451   -0.46372
     0.17954   -0.48814
     0.16501   -0.51031
     0.15095   -0.52827
     0.13735   -0.54000
     0.12425   -0.54462
     0.11167   -0.53915
     0.09967   -0.52469
     0.08830   -0.49837
     0.07763   -0.46163
     0.06775   -0.41385
     0.05873   -0.35615
     0.05059   -0.28946
     0.04335   -0.21644
     0.03697   -0.13735
     0.03138   -0.05464
     0.02650    0.03105
     0.02225    0.11939
     0.01854    0.20944
     0.01530    0.30043
     0.01247    0.39268
     0.01000    0.48586
     0.00785    0.57899
     0.00598    0.67065
     0.00436    0.75932
     0.00299    0.84191
     0.00184    0.91367
     0.00092    0.96830
     0.00021    0.99754
    -0.00029    0.99185
    -0.00057    0.94318
    -0.00065    0.84636
    -0.00052    0.69807
    -0.00016    0.50138
     0.00045    0.26736
     0.00133    0.01958
     0.00248   -0.21043
     0.00390   -0.39610
     0.00559   -0.53225
     0.00756   -0.62043
     0.00979   -0.66561
     0.01232   -0.68310
     0.01516   -0.67683
     0.01837   -0.65507
     0.02199   -0.62384
     0.02611   -0.58430
     0.03084   -0.54149
     0.03632   -0.49642
     0.04274   -0.44939
     0.05032   -0.40465
     0.05933   -0.36215
     0.06998   -0.32553
     0.08235   -0.29592
     0.09626   -0.27708
     0.11131   -0.26789
     0.12704   -0.26841
     0.14308   -0.27592
     0.15916   -0.28770
     0.17517   -0.30184
     0.19105   -0.31544
     0.20684   -0.32228
     0.22265   -0.32312
     0.23851   -0.32152
     0.25447   -0.31789
     0.27050   -0.31368
     0.28661   -0.30786
     0.30279   -0.30174
     0.31904   -0.29496
     0.33536   -0.28755
     0.35173   -0.28001
     0.36815   -0.27210
     0.38461   -0.26391
     0.40112   -0.25573
     0.41767   -0.24738
     0.43425   -0.23873
     0.45087   -0.23030
     0.46751   -0.22171
     0.48418   -0.21291
     0.50088   -0.20415
     0.51760   -0.19571
     0.53434   -0.18672
     0.55110   -0.17809
     0.56788   -0.16934
     0.58467   -0.16078
     0.60147   -0.15176
     0.61829   -0.14313
     0.63511   -0.13418
     0.65195   -0.12545
     0.66879   -0.11621
     0.68564   -0.10727
     0.70249   -0.09806
     0.71935   -0.08858
     0.73621   -0.07917
     0.75307   -0.06914
     0.76993   -0.05908
     0.78678   -0.04862
     0.80364   -0.03749
     0.82048   -0.02605
     0.83732   -0.01382
     0.85414   -0.00056
     0.87094    0.01348
     0.88771    0.02906
     0.90439    0.04634
     0.92091    0.06572
     0.93713    0.08830
     0.95277    0.11469
     0.96738    0.14661
     0.98048    0.18811
     0.99173    0.23798
     0.99997    0.41175
